F,T,S,Value
1,2,1,0.1905
1,3,1,0.2096
1,4,1,0.2286
1,5,1,0.2477
2,2,1,0.1711
2,3,1,0.1795
2,4,1,0.1879
2,5,1,0.1963
3,2,1,0.546
3,3,1,0.5778
3,4,1,0.6095
3,5,1,0.6412
4,2,1,0.3522
4,3,1,0.3761
4,4,1,0.4001
4,5,1,0.424
5,2,1,0.2597
5,3,1,0.2972
5,4,1,0.3346
5,5,1,0.372
6,2,1,0.2705
6,3,1,0.2753
6,4,1,0.28
6,5,1,0.2847
1,2,2,0.1905
1,3,2,0.2096
1,4,2,0.2286
1,5,2,0.2477
2,2,2,0.1711
2,3,2,0.1795
2,4,2,0.1879
2,5,2,0.1963
3,2,2,0.546
3,3,2,0.5778
3,4,2,0.6095
3,5,2,0.6412
4,2,2,0.3522
4,3,2,0.3761
4,4,2,0.4001
4,5,2,0.424
5,2,2,0.2272
5,3,2,0.2321
5,4,2,0.237
5,5,2,0.242
6,2,2,0.2705
6,3,2,0.2753
6,4,2,0.28
6,5,2,0.2847
1,2,3,0.1905
1,3,3,0.2096
1,4,3,0.2286
1,5,3,0.2477
2,2,3,0.1711
2,3,3,0.1795
2,4,3,0.1879
2,5,3,0.1963
3,2,3,0.546
3,3,3,0.5778
3,4,3,0.6095
3,5,3,0.6412
4,2,3,0.3522
4,3,3,0.3761
4,4,3,0.4001
4,5,3,0.424
5,2,3,0.2192
5,3,3,0.2161
5,4,3,0.213
5,5,3,0.2099
6,2,3,0.2705
6,3,3,0.2753
6,4,3,0.28
6,5,3,0.2847
1,2,4,0.1905
1,3,4,0.2096
1,4,4,0.2286
1,5,4,0.2477
2,2,4,0.1711
2,3,4,0.1795
2,4,4,0.1879
2,5,4,0.1963
3,2,4,0.4798
3,3,4,0.4453
3,4,4,0.4108
3,5,4,0.3763
4,2,4,0.3089
4,3,4,0.2895
4,4,4,0.2702
4,5,4,0.2509
5,2,4,0.2597
5,3,4,0.2972
5,4,4,0.3346
5,5,4,0.372
6,2,4,0.2466
6,3,4,0.2274
6,4,4,0.2081
6,5,4,0.1889
1,2,5,0.1905
1,3,5,0.2096
1,4,5,0.2286
1,5,5,0.2477
2,2,5,0.1711
2,3,5,0.1795
2,4,5,0.1879
2,5,5,0.1963
3,2,5,0.4798
3,3,5,0.4453
3,4,5,0.4108
3,5,5,0.3763
4,2,5,0.3089
4,3,5,0.2895
4,4,5,0.2702
4,5,5,0.2509
5,2,5,0.2272
5,3,5,0.2321
5,4,5,0.237
5,5,5,0.242
6,2,5,0.2466
6,3,5,0.2274
6,4,5,0.2081
6,5,5,0.1889
1,2,6,0.1905
1,3,6,0.2096
1,4,6,0.2286
1,5,6,0.2477
2,2,6,0.1711
2,3,6,0.1795
2,4,6,0.1879
2,5,6,0.1963
3,2,6,0.4798
3,3,6,0.4453
3,4,6,0.4108
3,5,6,0.3763
4,2,6,0.3089
4,3,6,0.2895
4,4,6,0.2702
4,5,6,0.2509
5,2,6,0.2192
5,3,6,0.2161
5,4,6,0.213
5,5,6,0.2099
6,2,6,0.2466
6,3,6,0.2274
6,4,6,0.2081
6,5,6,0.1889
1,2,7,0.1905
1,3,7,0.2096
1,4,7,0.2286
1,5,7,0.2477
2,2,7,0.1711
2,3,7,0.1795
2,4,7,0.1879
2,5,7,0.1963
3,2,7,0.4136
3,3,7,0.3128
3,4,7,0.2121
3,5,7,0.1113
4,2,7,0.2656
4,3,7,0.203
