F,T,S,Value
1,2,1,0.09
1,3,1,0.08765999999999999
1,4,1,0.08532
1,5,1,0.08297999999999998
1,2,2,0.09
1,3,2,0.07983
1,4,2,0.06966
1,5,2,0.05949
1,2,3,0.09
1,3,3,0.07983
1,4,3,0.06966
1,5,3,0.05949
1,2,4,0.09
1,3,4,0.07983
1,4,4,0.06966
1,5,4,0.05949
2,2,1,0.07
2,3,1,0.06818
2,4,1,0.06636
2,5,1,0.06454
2,2,2,0.07
2,3,2,0.062090000000000006
2,4,2,0.054180000000000006
2,5,2,0.046270000000000006
2,2,3,0.07
2,3,3,0.062090000000000006
2,4,3,0.054180000000000006
2,5,3,0.046270000000000006
2,2,4,0.07
2,3,4,0.062090000000000006
2,4,4,0.054180000000000006
2,5,4,0.046270000000000006
3,2,1,0.26
3,3,1,0.25194
3,4,1,0.24387999999999999
3,5,1,0.23581999999999997
3,2,2,0.26
3,3,2,0.25194
3,4,2,0.24387999999999999
3,5,2,0.23581999999999997
3,2,3,0.26
3,3,3,0.2301
3,4,3,0.20020000000000002
3,5,3,0.1703
3,2,4,0.26
3,3,4,0.25194
3,4,4,0.24387999999999999
3,5,4,0.23581999999999997
4,2,1,0.22
4,3,1,0.21318
4,4,1,0.20636
4,5,1,0.19954
4,2,2,0.22
4,3,2,0.21318
4,4,2,0.20636
4,5,2,0.19954
4,2,3,0.22
4,3,3,0.1947
4,4,3,0.1694
4,5,3,0.1441
4,2,4,0.22
4,3,4,0.21318
4,4,4,0.20636
4,5,4,0.19954
5,2,1,0.15
5,3,1,0.168
5,4,1,0.18600000000000003
5,5,1,0.20400000000000004
5,2,2,0.15
5,3,2,0.168
5,4,2,0.18600000000000003
5,5,2,0.20400000000000004
5,2,3,0.15
5,3,3,0.14234999999999998
5,4,3,0.1347
5,5,3,0.12704999999999997
5,2,4,0.15
5,3,4,0.1557
5,4,4,0.16140000000000002
5,5,4,0.1671
6,2,1,0.13
6,3,1,0.1456
6,4,1,0.16120000000000004
6,5,1,0.17680000000000004
6,2,2,0.13
6,3,2,0.1456
6,4,2,0.16120000000000004
6,5,2,0.17680000000000004
6,2,3,0.13
6,3,3,0.12337
6,4,3,0.11674
6,5,3,0.11010999999999999
6,2,4,0.13
6,3,4,0.13494
6,4,4,0.13988
6,5,4,0.14482
7,2,1,0.12
7,3,1,0.13440000000000002
7,4,1,0.14880000000000002
7,5,1,0.16320000000000004
7,2,2,0.12
7,3,2,0.13440000000000002
7,4,2,0.14880000000000002
7,5,2,0.16320000000000004
7,2,3,0.12
7,3,3,0.11388
7,4,3,0.10775999999999998
7,5,3,0.10163999999999998
7,2,4,0.12
7,3,4,0.12456
7,4,4,0.12912
7,5,4,0.13368000000000002
8,2,1,0.11
8,3,1,0.12320000000000002
8,4,1,0.13640000000000002
8,5,1,0.14960000000000004
8,2,2,0.11
8,3,2,0.12320000000000002
8,4,2,0.13640000000000002
8,5,2,0.14960000000000004
8,2,3,0.11
8,3,3,0.10439
8,4,3,0.09877999999999999
8,5,3,0.09316999999999999
8,2,4,0.11
8,3,4,0.11418
8,4,4,0.11836
8,5,4,0.12254000000000001
9,2,1,0.18
9,3,1,0.17442
9,4,1,0.16884
9,5,1,0.16326
9,2,2,0.18
9,3,2,0.17442
9,4,2,0.16884
9,5,2,0.16326
9,2,3,0.18
9,3,3,0.1593
9,4,3,0.1386
9,5,3,0.1179
9,2,4,0.18
9,3,4,0.17442
9,4,4,0.16884
9,5,4,0.16326
