from/to;MON;APT;ASL;DAB;DSA;DSS;GFAGFBGFC;KVB;MID;NLNVAL;OSC;OSE;OSOVFB;OSS;STASTB;STC;TENTRB;TEQTRC;TRO
MON;0;74.16;89.74;55.49;97.22;94.89;88.48;75.53;90.64;80.28;67.31;67.71;66.52;71.1;98.93;95.38;46.75;43.97;39.97
APT;74.16;0;53.23;62.48;73.95;80.19;61.16;49.32;26.44;48.65;20.41;13.29;32.769999999999996;6.61;66.42;66.45;37.669999999999995;44.42;35.61
ASL;89.74;53.23;0;41.44;21.71;30.33;13.06;14.53;34.23;11.58;35.83;42.48;37.53;47.48;13.190000000000001;13.52;50.12;48.53;56.53
DAB;55.49;62.48;41.44;0;42.55;39.4;37.17;27.65;60.77;33.66;43.2;49.42;38.739999999999995;56.07;47.13999999999999;42.43;33.69;25.63;39.18
DSA;97.22;73.95;21.71;42.55;0;10.51;20.11;26.69;55.9;27.76;55.09;62.23;54.61;67.86;15.34;8.45;63.51;59.33;70.41
DSS;94.89;80.19;30.33;39.4;10.51;0;26.4;31.1;64.35;33.709999999999994;60.47;67.79;58.81;73.84;25.34;18.28;65.19;59.81;72.06
GFAGFBGFC;88.48;61.16;13.06;37.17;20.11;26.4;0;14.04;45.33;14.680000000000001;42.01;49.2;41.59;54.95;17.47;14.44;51.599999999999994;48.47;58.41
KVB;75.53;49.32;14.53;27.65;26.69;31.1;14.04;0;37.56;6.05;29.38;36.72;28.009999999999998;42.88;23.87;21.46;37.599999999999994;34.83;44.39
MID;90.64;26.44;34.23;60.77;55.9;64.35;45.33;37.56;0;34.64;23.38;23.96;34.31;23.92;46.589999999999996;47.56;48.19;52.13;50.85
NLNVAL;80.28;48.65;11.58;33.66;27.76;33.709999999999994;14.680000000000001;6.05;34.64;0;29.44;36.61;29.43;42.4;22.68;21.25;40.919999999999995;39.07;47.5
OSC;67.31;20.41;35.83;43.2;55.09;60.47;42.01;29.38;23.38;29.44;0;7.35;13.03;13.81;48.82;48.22;24.85;29.419999999999998;27.74
OSE;67.71;13.29;42.48;49.42;62.23;67.79;49.2;36.72;23.96;36.61;7.35;0;19.490000000000002;6.71;55.589999999999996;55.18;27.12;33.02;27.76
OSOVFB;66.52;32.769999999999996;37.53;38.739999999999995;54.61;58.81;41.59;28.009999999999998;34.31;29.43;13.03;19.490000000000002;0;26.2;49.85999999999999;48.56999999999999;23.64;26.41;28.68
OSS;71.1;6.61;47.48;56.07;67.86;73.84;54.95;42.88;23.92;42.4;13.81;6.71;26.2;0;60.66;60.52;32.43;38.83;31.61
STASTB;98.93;66.42;13.190000000000001;47.13999999999999;15.34;25.34;17.47;23.87;46.589999999999996;22.68;48.82;55.589999999999996;49.85999999999999;60.66;0;7.0600000000000005;61.28999999999999;58.669999999999995;67.97
STC;95.38;66.45;13.52;42.43;8.45;18.28;14.44;21.46;47.56;21.25;48.22;55.18;48.56999999999999;60.52;7.0600000000000005;0;59.04;55.82;65.84
TENTRB;46.75;37.669999999999995;50.12;33.69;63.51;65.19;51.599999999999994;37.599999999999994;48.19;40.919999999999995;24.85;27.12;23.64;32.43;61.28999999999999;59.04;0;11.12;10.73
TEQTRC;43.97;44.42;48.53;25.63;59.33;59.81;48.47;34.83;52.13;39.07;29.419999999999998;33.02;26.41;38.83;58.669999999999995;55.82;11.12;0;15.92
TRO;39.97;35.61;56.53;39.18;70.41;72.06;58.41;44.39;50.85;47.5;27.74;27.76;28.68;31.61;67.97;65.84;10.73;15.92;0
