Mon,APT,GF,Mon
Mon,APT,ST,Mon
Mon,ASL,GF,Mon
Mon,ASL,ST,Mon
Mon,DAB,OSE,Mon
Mon,DSA,GF,Mon
Mon,DSA,ST,Mon
Mon,DSS,GF,Mon
Mon,DSS,ST,Mon
Mon,GF,KVB,Mon
Mon,GF,MID,Mon
Mon,GF,NLNVAL,Mon
Mon,GF,OSC,Mon
Mon,GF,OSO,Mon
Mon,GF,OSS,Mon
Mon,GF,TENTRB,Mon
Mon,GF,TEQTRC,Mon
Mon,GF,TRO,Mon
Mon,GF,VFB,Mon
Mon,KVB,ST,Mon
Mon,MID,ST,Mon
Mon,NLNVAL,ST,Mon
Mon,OSC,ST,Mon
Mon,OSO,ST,Mon
Mon,OSS,ST,Mon
Mon,ST,TENTRB,Mon
Mon,ST,TEQTRC,Mon
Mon,ST,TRO,Mon
Mon,ST,VFB,Mon
Mon,APT,ASL,DAB,Mon
Mon,APT,ASL,DSA,Mon
Mon,APT,ASL,DSS,Mon
Mon,APT,ASL,NLNVAL,Mon
Mon,APT,ASL,OSE,Mon
Mon,APT,DAB,DSA,Mon
Mon,APT,DAB,DSS,Mon
Mon,APT,DAB,KVB,Mon
Mon,APT,DAB,MID,Mon
Mon,APT,DAB,NLNVAL,Mon
Mon,APT,DAB,OSC,Mon
Mon,APT,DAB,OSE,Mon
Mon,APT,DAB,OSO,Mon
Mon,APT,DAB,OSS,Mon
Mon,APT,DAB,TENTRB,Mon
Mon,APT,DAB,TEQTRC,Mon
Mon,APT,DAB,VFB,Mon
Mon,APT,DSA,DSS,Mon
Mon,APT,DSA,NLNVAL,Mon
Mon,APT,DSA,OSE,Mon
Mon,APT,DSA,TEQTRC,Mon
Mon,APT,DSS,NLNVAL,Mon
Mon,APT,DSS,OSE,Mon
Mon,APT,DSS,TEQTRC,Mon
Mon,APT,GF,KVB,Mon
Mon,APT,GF,MID,Mon
Mon,APT,GF,OSO,Mon
Mon,APT,GF,TRO,Mon
Mon,APT,KVB,ST,Mon
Mon,APT,MID,ST,Mon
Mon,APT,NLNVAL,OSE,Mon
Mon,APT,NLNVAL,TEQTRC,Mon
Mon,APT,OSC,OSE,Mon
Mon,APT,OSE,OSS,Mon
