from/to;MON;APT;ASL;DAB;DSA;DSS;GFA;GFB;GFC;KVB;MID;NLN;OSC;OSE;OSO;OSS;STA;STB;STC;TEN;TEQ;TRB;TRC;TRO;VAL;VFB
MON;0,0;67,1;79,9;46,0;87,5;85,3;75,9;75,8;73,8;65,7;82,1;70,1;58,6;59,6;53,0;63,5;86,3;86,5;85,6;36,0;33,9;35,8;32,5;31,9;68,8;53,2
APT;67,1;0,0;53,3;62,4;74,3;80,2;57,1;58,6;58,0;49,5;26,7;47,9;20,6;13,5;26,4;6,8;65,1;62,8;66,7;34,6;42,5;36,9;44,0;35,7;47,9;31,0
ASL;79,9;53,3;0,0;41,4;22,1;30,3;8,1;9,9;11,2;14,5;34,0;9,9;35,7;42,3;35,0;47,3;11,8;9,6;13,7;49,0;46,7;47,3;47,9;56,4;11,2;31,4
DAB;46,0;62,4;41,4;0,0;42,5;39,3;34,8;33,9;31,9;27,5;60,6;33,1;43,0;49,2;36,3;55,8;43,8;44,9;42,3;33,3;24,6;30,1;24,2;39,0;31,7;32,2
DSA;87,5;74,3;22,1;42,5;0,0;10,1;17,3;16,0;17,0;26,8;56,1;26,7;55,2;62,4;52,7;68,0;11,3;14,4;8,7;63,0;57,9;60,4;58,6;70,5;26,9;48,2
DSS;85,3;80,2;30,3;39,3;10,1;0,0;23,8;22,1;22,3;30,9;64,2;32,5;60,3;67,6;56,7;73,6;20,9;24,0;18,1;64,6;58,3;61,8;58,8;71,9;32,3;52,0
GFA;75,9;57,1;8,1;34,8;17,3;23,8;0,0;1,9;3,2;10,7;40,5;9,3;37,9;45,0;35,7;50,7;10,7;10,6;10,8;47,5;43,8;45,3;44,8;55,1;9,7;31,4
GFB;75,8;58,6;9,9;33,9;16,0;22,1;1,9;0,0;2,0;11,3;42,4;10,7;39,3;46,4;36,8;52,2;10,6;11,0;10,2;48,1;44,1;45,8;45,0;55,7;10,9;32,4
GFC;73,8;58,0;11,2;31,9;17,0;22,3;3,2;2,0;0,0;9,8;42,7;10,2;38,4;45,7;35,7;51,5;12,5;13,0;12,0;46,5;42,3;44,2;43,2;54,0;10,1;31,2
KVB;65,7;49,5;14,5;27,5;26,8;30,9;10,7;11,3;9,8;0,0;37,6;5,6;29,4;36,7;26,0;42,9;21,4;21,0;21,5;36,8;33,2;34,6;34,2;44,4;4,2;21,5
MID;82,1;26,7;34,0;60,6;56,1;64,2;40,5;42,4;42,7;37,6;0,0;33,3;23,5;24,1;29,5;24,0;45,3;42,4;47,6;46,1;50,2;46,6;51,8;50,9;34,1;31,0
NLN;70,1;47,9;9,9;33,1;26,7;32,5;9,3;10,7;10,2;5,6;33,3;0,0;28,6;35,7;26,5;41,5;19,1;17,9;19,9;39,5;36,9;37,6;38,1;46,9;1,4;22,5
OSC;58,6;20,6;35,7;43,0;55,2;60,3;37,9;39,3;38,4;29,4;23,5;28,6;0,0;7,4;7,0;13,8;47,0;45,2;48,2;22,6;27,4;23,2;29,0;27,7;28,3;10,8
OSE;59,6;13,5;42,3;49,2;62,4;67,6;45,0;46,4;45,7;36,7;24,1;35,7;7,4;0,0;12,9;6,7;53,9;51,9;55,2;24,4;31,0;25,9;32,6;27,8;35,6;17,5
OSO;53,0;26,4;35,0;36,3;52,7;56,7;35,7;36,8;35,7;26,0;29,5;26,5;7,0;12,9;0,0;19,7;45,6;44,1;46,4;17,3;20,7;17,2;22,4;23,5;26,0;4,9
