MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSASTASTBSTC,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVBNLNVAL,MON
MON,MID,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRC,MON
MON,TRO,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,MID,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,KVBNLNVAL,MON
MON,ASL,MID,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTEQTRBTRC,MON
MON,ASL,TRO,MON
MON,DAB,DSS,MON
MON,DAB,KVBNLNVAL,MON
MON,DAB,MID,MON
MON,DAB,OSCOSE,MON
MON,DAB,OSOVFB,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DAB,TRO,MON
MON,DSS,KVBNLNVAL,MON
MON,DSS,MID,MON
MON,DSS,OSCOSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTEQTRBTRC,MON
MON,DSS,TRO,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,TRO,MON
MON,KVBNLNVAL,MID,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,KVBNLNVAL,TENTEQTRBTRC,MON
MON,KVBNLNVAL,TRO,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTEQTRBTRC,MON
MON,MID,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TRO,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,OSOVFB,TRO,MON
MON,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVBNLNVAL,MID,MON
MON,APTOSS,KVBNLNVAL,TRO,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVBNLNVAL,MID,MON
MON,ASL,KVBNLNVAL,TRO,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTEQTRBTRC,TRO,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVBNLNVAL,TRO,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DSS,KVBNLNVAL,MID,MON
MON,DSS,KVBNLNVAL,TRO,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TRO,MON
MON,DSS,OSCOSE,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTEQTRBTRC,TRO,MON
MON,KVBNLNVAL,MID,OSOVFB,MON
MON,KVBNLNVAL,MID,TRO,MON
MON,KVBNLNVAL,OSOVFB,TRO,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TRO,MON
MON,MID,TENTEQTRBTRC,TRO,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,OSOVFB,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,MID,TRO,MON
MON,APTOSS,DSS,MID,TRO,MON
MON,APTOSS,MID,OSOVFB,TRO,MON
MON,ASL,DAB,MID,TRO,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,KVBNLNVAL,MID,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,DSS,MID,OSOVFB,TRO,MON
