MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSASTASTBSTC,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRC,MON
MON,TRO,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,KVB,MON
MON,APTOSS,MID,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTEQTRBTRC,MON
MON,ASL,TRO,MON
MON,DAB,DSS,MON
MON,DAB,KVB,MON
MON,DAB,MID,MON
MON,DAB,NLNVAL,MON
MON,DAB,OSCOSE,MON
MON,DAB,OSOVFB,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DAB,TRO,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,KVB,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTEQTRBTRC,MON
MON,DSS,TRO,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,MID,MON
MON,KVB,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,KVB,OSOVFB,MON
MON,KVB,TENTEQTRBTRC,MON
MON,KVB,TRO,MON
MON,MID,NLNVAL,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTEQTRBTRC,MON
MON,MID,TRO,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,OSOVFB,MON
MON,NLNVAL,TENTEQTRBTRC,MON
MON,NLNVAL,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TENTEQTRBTRC,MON
MON,OSCOSE,TRO,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,OSOVFB,TRO,MON
MON,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSCOSE,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,DSS,MON
MON,APTOSS,DAB,KVB,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,NLNVAL,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSS,KVB,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,NLNVAL,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,MID,MON
MON,APTOSS,KVB,NLNVAL,MON
MON,APTOSS,KVB,OSCOSE,MON
MON,APTOSS,KVB,OSOVFB,MON
MON,APTOSS,KVB,TENTEQTRBTRC,MON
MON,APTOSS,KVB,TRO,MON
MON,APTOSS,MID,NLNVAL,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRC,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,NLNVAL,OSOVFB,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TENTEQTRBTRC,TRO,MON
MON,ASL,DAB,DSS,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,NLNVAL,MON
MON,ASL,DAB,OSOVFB,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSCOSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,MID,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSCOSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTEQTRBTRC,MON
MON,ASL,KVB,TRO,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,NLNVAL,OSCOSE,MON
MON,ASL,NLNVAL,OSOVFB,MON
