MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRC,MON
MON,TRO,MON
MON,ASL,APTOSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,MID,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TRO,MON
MON,DSS,DAB,MON
MON,KVB,DAB,MON
MON,DAB,NLNVAL,MON
MON,DSS,KVB,MON
MON,DSS,NLNVAL,MON
MON,GFAGFBGFC,KVB,MON
MON,KVB,MID,MON
MON,KVB,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,KVB,OSOVFB,MON
MON,KVB,TENTEQTRBTRC,MON
MON,KVB,TRO,MON
MON,MID,NLNVAL,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTEQTRBTRC,MON
MON,MID,TRO,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,OSOVFB,MON
MON,NLNVAL,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,TRO,OSCOSE,MON
MON,TRO,OSOVFB,MON
MON,TENTEQTRBTRC,TRO,MON
MON,KVB,ASL,APTOSS,MON
MON,APTOSS,MID,ASL,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,ASL,APTOSS,TRO,MON
MON,APTOSS,MID,KVB,MON
MON,APTOSS,NLNVAL,KVB,MON
MON,APTOSS,OSOVFB,KVB,MON
MON,KVB,APTOSS,TRO,MON
MON,NLNVAL,MID,APTOSS,MON
MON,APTOSS,MID,OSOVFB,MON
MON,MID,APTOSS,TRO,MON
MON,NLNVAL,APTOSS,TRO,MON
MON,OSOVFB,APTOSS,TRO,MON
MON,ASL,DSS,DAB,MON
MON,KVB,ASL,DAB,MON
MON,DSS,ASL,KVB,MON
MON,DSS,ASL,NLNVAL,MON
MON,KVB,ASL,MID,MON
MON,KVB,ASL,NLNVAL,MON
MON,KVB,ASL,OSCOSE,MON
MON,KVB,ASL,OSOVFB,MON
MON,KVB,ASL,TRO,MON
MON,MID,ASL,NLNVAL,MON
MON,OSCOSE,MID,ASL,MON
MON,OSOVFB,MID,ASL,MON
MON,ASL,MID,TRO,MON
MON,NLNVAL,ASL,OSOVFB,MON
MON,NLNVAL,ASL,TRO,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,DAB,DSS,KVB,MON
MON,NLNVAL,KVB,DAB,MON
MON,DSS,NLNVAL,KVB,MON
MON,KVB,NLNVAL,MID,MON
MON,KVB,MID,OSCOSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TRO,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,NLNVAL,TRO,MON
MON,KVB,OSOVFB,OSCOSE,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TRO,MON
MON,NLNVAL,MID,OSOVFB,MON
MON,NLNVAL,MID,TRO,MON
MON,OSCOSE,MID,OSOVFB,MON
MON,MID,OSCOSE,TRO,MON
MON,OSOVFB,MID,TRO,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,OSOVFB,OSCOSE,TRO,MON
MON,APTOSS,MID,ASL,KVB,MON
MON,KVB,ASL,APTOSS,TRO,MON
MON,TRO,APTOSS,MID,ASL,MON
MON,KVB,NLNVAL,MID,APTOSS,MON
MON,APTOSS,MID,KVB,OSOVFB,MON
MON,KVB,MID,APTOSS,TRO,MON
MON,KVB,NLNVAL,APTOSS,TRO,MON
MON,KVB,OSOVFB,APTOSS,TRO,MON
MON,NLNVAL,MID,APTOSS,TRO,MON
MON,OSOVFB,MID,APTOSS,TRO,MON
MON,KVB,NLNVAL,ASL,MID,MON
MON,KVB,ASL,MID,OSOVFB,MON
MON,KVB,ASL,MID,TRO,MON
MON,KVB,ASL,NLNVAL,TRO,MON
MON,KVB,ASL,OSOVFB,TRO,MON
MON,NLNVAL,ASL,MID,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,KVB,NLNVAL,MID,OSOVFB,MON
MON,KVB,NLNVAL,MID,TRO,MON
MON,KVB,MID,OSCOSE,TRO,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,MID,OSOVFB,TRO,MON
MON,KVB,ASL,MID,APTOSS,TRO,MON
MON,KVB,NLNVAL,ASL,MID,TRO,MON
MON,KVB,ASL,MID,OSOVFB,TRO,MON
MON,DSASTASTBSTC,MON
