from/to;MON;APTOSS;ASL;DAB;DSA;DSS;GFAGFBGFC;KVB;MID;NLNVAL;OSCOSE;OSOVFB;STASTBSTC;TENTRB;TEQTRC;TRO
MON;0;67.41;76.23;42.91;84.06;82.17;75.03;62.02;78.3;66.75999999999999;60.519999999999996;53.56999999999999;84.97;34.0;30.57;28.48
APTOSS;67.41;0;55.839999999999996;64.78;76.4;82.52000000000001;63.55;51.61;30.5;51.019999999999996;24.18;34.989999999999995;69.67;40.49999999999999;47.099999999999994;39.019999999999996
ASL;76.23;55.839999999999996;0;41.44;21.71;30.33;13.06;14.53;34.23;11.58;44.269999999999996;37.53;13.89;50.12;48.53;56.53
DAB;42.91;64.78;41.44;0;42.55;39.4;37.17;27.65;60.77;33.66;51.42;38.739999999999995;46.21;33.69;25.63;39.18
DSA;84.06;76.4;21.71;42.55;0;10.51;20.11;26.69;55.9;27.76;63.809999999999995;54.61;13.71;63.51;59.33;70.41
DSS;82.17;82.52000000000001;30.33;39.4;10.51;0;26.4;31.1;64.35;33.709999999999994;69.28;58.81;23.66;65.19;59.81;72.06
GFAGFBGFC;75.03;63.55;13.06;37.17;20.11;26.4;0;14.04;45.33;14.680000000000001;50.75;41.59;16.95;51.599999999999994;48.47;58.41
KVB;62.02;51.61;14.53;27.65;26.69;31.1;14.04;0;37.56;6.05;38.199999999999996;28.009999999999998;23.65;37.599999999999994;34.83;44.39
MID;78.3;30.5;34.23;60.77;55.9;64.35;45.33;37.56;0;34.64;28.53;34.31;47.58;48.19;52.13;50.85
NLNVAL;66.75999999999999;51.019999999999996;11.58;33.66;27.76;33.709999999999994;14.680000000000001;6.05;34.64;0;38.169999999999995;29.43;22.79;40.919999999999995;39.07;47.5
OSCOSE;60.519999999999996;24.18;44.269999999999996;51.42;63.809999999999995;69.28;50.75;38.199999999999996;28.53;38.169999999999995;0;21.279999999999998;57.809999999999995;30.88;36.2;32.660000000000004
OSOVFB;53.56999999999999;34.989999999999995;37.53;38.739999999999995;54.61;58.81;41.59;28.009999999999998;34.31;29.43;21.279999999999998;0;50.06999999999999;23.64;26.41;28.68
STASTBSTC;84.97;69.67;13.89;46.21;13.71;23.66;16.95;23.65;47.58;22.79;57.809999999999995;50.06999999999999;0;61.19;58.36;67.91
TENTRB;34.0;40.49999999999999;50.12;33.69;63.51;65.19;51.599999999999994;37.599999999999994;48.19;40.919999999999995;30.88;23.64;61.19;0;11.12;10.73
TEQTRC;30.57;47.099999999999994;48.53;25.63;59.33;59.81;48.47;34.83;52.13;39.07;36.2;26.41;58.36;11.12;0;15.92
TRO;28.48;39.019999999999996;56.53;39.18;70.41;72.06;58.41;44.39;50.85;47.5;32.660000000000004;28.68;67.91;10.73;15.92;0
