MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSA,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,STASTBSTC,MON
MON,TENTRB,MON
MON,TEQTRC,MON
MON,TRO,MON
MON,ASL,APTOSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,MID,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTRB,MON
MON,APTOSS,TEQTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSA,MON
MON,ASL,DSS,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTRB,MON
MON,TEQTRC,ASL,MON
MON,ASL,TRO,MON
MON,DAB,DSA,MON
MON,DSS,DAB,MON
MON,KVB,DAB,MON
MON,DAB,NLNVAL,MON
MON,DAB,TEQTRC,MON
MON,DSA,DSS,MON
MON,DSA,KVB,MON
MON,DSA,NLNVAL,MON
MON,DSA,TEQTRC,MON
MON,DSS,KVB,MON
MON,DSS,NLNVAL,MON
MON,DSS,TEQTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,KVB,MID,MON
MON,KVB,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,KVB,OSOVFB,MON
MON,KVB,STASTBSTC,MON
MON,KVB,TENTRB,MON
MON,KVB,TEQTRC,MON
MON,KVB,TRO,MON
MON,MID,NLNVAL,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTRB,MON
MON,MID,TEQTRC,MON
MON,MID,TRO,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,OSOVFB,MON
MON,NLNVAL,TENTRB,MON
MON,NLNVAL,TEQTRC,MON
MON,NLNVAL,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TENTRB,MON
MON,OSCOSE,TEQTRC,MON
MON,TRO,OSCOSE,MON
MON,OSOVFB,TENTRB,MON
MON,OSOVFB,TEQTRC,MON
MON,TRO,OSOVFB,MON
MON,TENTRB,TEQTRC,MON
MON,TENTRB,TRO,MON
MON,TEQTRC,TRO,MON
MON,KVB,ASL,APTOSS,MON
MON,APTOSS,MID,ASL,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,ASL,APTOSS,TRO,MON
MON,APTOSS,MID,KVB,MON
MON,APTOSS,NLNVAL,KVB,MON
MON,APTOSS,OSOVFB,KVB,MON
MON,KVB,APTOSS,TENTRB,MON
MON,APTOSS,KVB,TEQTRC,MON
MON,KVB,APTOSS,TRO,MON
MON,NLNVAL,MID,APTOSS,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTRB,MON
MON,APTOSS,MID,TEQTRC,MON
MON,MID,APTOSS,TRO,MON
MON,NLNVAL,APTOSS,TRO,MON
MON,OSOVFB,APTOSS,TRO,MON
MON,TENTRB,APTOSS,TRO,MON
MON,TEQTRC,APTOSS,TRO,MON
MON,DAB,DSA,ASL,MON
MON,ASL,DSS,DAB,MON
MON,KVB,ASL,DAB,MON
MON,ASL,DSA,DSS,MON
MON,KVB,ASL,DSA,MON
MON,NLNVAL,ASL,DSA,MON
MON,DSA,ASL,TEQTRC,MON
MON,DSS,ASL,KVB,MON
MON,DSS,ASL,NLNVAL,MON
MON,DSS,ASL,TEQTRC,MON
MON,KVB,ASL,MID,MON
MON,KVB,ASL,NLNVAL,MON
MON,KVB,ASL,OSCOSE,MON
MON,KVB,ASL,OSOVFB,MON
MON,KVB,ASL,TENTRB,MON
MON,KVB,ASL,TEQTRC,MON
MON,KVB,ASL,TRO,MON
MON,MID,ASL,NLNVAL,MON
MON,OSCOSE,MID,ASL,MON
MON,OSOVFB,MID,ASL,MON
MON,TENTRB,MID,ASL,MON
MON,MID,ASL,TEQTRC,MON
MON,ASL,MID,TRO,MON
MON,NLNVAL,ASL,OSOVFB,MON
MON,NLNVAL,ASL,TEQTRC,MON
MON,NLNVAL,ASL,TRO,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TENTRB,MON
MON,OSOVFB,ASL,TEQTRC,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TRO,MON
MON,TEQTRC,ASL,TRO,MON
MON,DAB,DSS,DSA,MON
MON,DAB,DSA,KVB,MON
MON,DAB,DSS,KVB,MON
MON,NLNVAL,KVB,DAB,MON
MON,DAB,KVB,TEQTRC,MON
MON,DSS,DSA,KVB,MON
MON,DSS,DSA,NLNVAL,MON
MON,DSS,DSA,TEQTRC,MON
MON,DSA,NLNVAL,KVB,MON
