from/to;MON;APT;ASL;DAB;DSA;DSS;GFAGFBGFC;KVB;MID;NLNVAL;OSC;OSE;OSOVFB;OSS;STASTBSTC;TENTRB;TEQTRC;TRO
MON;0;63.84;76.23;42.91;84.06;82.17;75.03;62.02;78.3;66.75999999999999;54.92;56.05;53.56999999999999;60.09;84.97;34.0;30.57;28.48
APT;63.84;0;53.23;62.48;73.95;80.19;61.16;49.32;26.44;48.65;20.41;13.29;32.769999999999996;6.61;67.09;37.669999999999995;44.42;35.61
ASL;76.23;53.23;0;41.44;21.71;30.33;13.06;14.53;34.23;11.58;35.83;42.48;37.53;47.48;13.89;50.12;48.53;56.53
DAB;42.91;62.48;41.44;0;42.55;39.4;37.17;27.65;60.77;33.66;43.2;49.42;38.739999999999995;56.07;46.21;33.69;25.63;39.18
DSA;84.06;73.95;21.71;42.55;0;10.51;20.11;26.69;55.9;27.76;55.09;62.23;54.61;67.86;13.71;63.51;59.33;70.41
DSS;82.17;80.19;30.33;39.4;10.51;0;26.4;31.1;64.35;33.709999999999994;60.47;67.79;58.81;73.84;23.66;65.19;59.81;72.06
GFAGFBGFC;75.03;61.16;13.06;37.17;20.11;26.4;0;14.04;45.33;14.680000000000001;42.01;49.2;41.59;54.95;16.95;51.599999999999994;48.47;58.41
KVB;62.02;49.32;14.53;27.65;26.69;31.1;14.04;0;37.56;6.05;29.38;36.72;28.009999999999998;42.88;23.65;37.599999999999994;34.83;44.39
MID;78.3;26.44;34.23;60.77;55.9;64.35;45.33;37.56;0;34.64;23.38;23.96;34.31;23.92;47.58;48.19;52.13;50.85
NLNVAL;66.75999999999999;48.65;11.58;33.66;27.76;33.709999999999994;14.680000000000001;6.05;34.64;0;29.44;36.61;29.43;42.4;22.79;40.919999999999995;39.07;47.5
OSC;54.92;20.41;35.83;43.2;55.09;60.47;42.01;29.38;23.38;29.44;0;7.35;13.03;13.81;49.26;24.85;29.419999999999998;27.74
OSE;56.05;13.29;42.48;49.42;62.23;67.79;49.2;36.72;23.96;36.61;7.35;0;19.490000000000002;6.71;56.1;27.12;33.02;27.76
OSOVFB;53.56999999999999;32.769999999999996;37.53;38.739999999999995;54.61;58.81;41.59;28.009999999999998;34.31;29.43;13.03;19.490000000000002;0;26.2;50.06999999999999;23.64;26.41;28.68
OSS;60.09;6.61;47.48;56.07;67.86;73.84;54.95;42.88;23.92;42.4;13.81;6.71;26.2;0;61.27;32.43;38.83;31.61
STASTBSTC;84.97;67.09;13.89;46.21;13.71;23.66;16.95;23.65;47.58;22.79;49.26;56.1;50.06999999999999;61.27;0;61.19;58.36;67.91
TENTRB;34.0;37.669999999999995;50.12;33.69;63.51;65.19;51.599999999999994;37.599999999999994;48.19;40.919999999999995;24.85;27.12;23.64;32.43;61.19;0;11.12;10.73
TEQTRC;30.57;44.42;48.53;25.63;59.33;59.81;48.47;34.83;52.13;39.07;29.419999999999998;33.02;26.41;38.83;58.36;11.12;0;15.92
TRO;28.48;35.61;56.53;39.18;70.41;72.06;58.41;44.39;50.85;47.5;27.74;27.76;28.68;31.61;67.91;10.73;15.92;0
