from/to;MON;ASL;DAB;DSA;DSS;GFAGFB;GFC;KVB;NLNVAL;STASTB;STC;TEQTRC
MON;0;76.23;42.91;84.06;82.17;73.86;70.21;62.02;66.75999999999999;85.47;81.99;30.57
ASL;76.23;0;41.44;21.71;30.33;10.49;11.05;14.53;11.58;13.190000000000001;13.52;48.53
DAB;42.91;41.44;0;42.55;39.4;36.13999999999999;32.06;27.65;33.66;47.13999999999999;42.43;25.63
DSA;84.06;21.71;42.55;0;10.51;18.17;16.93;26.69;27.76;15.34;8.45;59.33
DSS;82.17;30.33;39.4;10.51;0;24.8;22.48;31.1;33.709999999999994;25.34;18.28;59.81
GFAGFB;73.86;59.26;36.1399999;18.17;24.8;0;4.14;12.64;12.91;14.93;12.15;47.209999
GFC;70.21;57.81;32.06;16.93;22.48;4.14;0;9.82;11.260000000000002;15.4;11.98;43.839999999999996
KVB;62.02;14.53;27.65;26.69;31.1;12.64;9.82;0;6.05;23.87;21.46;34.83
NLNVAL;66.75999999999999;11.58;33.66;27.76;33.709999999999994;12.91;11.260000000000002;6.05;0;22.68;21.25;39.07
STASTB;85.47;13.19;47.13999999999999;15.34;25.34;14.93;15.4;23.87;22.68;0;7.0600000000000005;58.669999999999995
STC;81.99;13.52;42.43;8.45;18.28;12.15;11.98;21.46;21.25;7.0600000000000005;0;55.82
TEQTRC;30.57;48.53;25.63;59.33;59.81;47.2;43.839999999999996;34.83;39.07;58.669999999999995;55.82;0
