from/to;MON;ASL;DAB;DSA;DSS;GFAGFB;GFC;KVB;NLNVAL;STC;TEQTRC;STA;STB
MON;0;76.23;42.91;84.06;82.17;73.86;70.21;62.02;66.75999999999999;81.99;30.57;82.7;82.81
ASL;76.23;0;41.44;21.71;30.33;10.49;11.05;14.53;11.58;13.52;48.53;11.65;9.39
DAB;42.91;41.44;0;42.55;39.4;36.13999999999999;32.06;27.65;33.66;42.43;25.63;43.9;44.98
DSA;84.06;21.71;42.55;0;10.51;18.17;16.93;26.69;27.76;8.45;59.33;11.05;14.17
DSS;82.17;30.33;39.4;10.51;0;24.8;22.48;31.1;33.709999999999994;18.28;59.81;21.06;24.16
GFAGFB;73.86;59.26;36.1399999;18.17;24.8;0;4.14;12.64;12.91;12.15;47.209999;12.24;12.4
GFC;70.21;57.81;32.06;16.93;22.48;4.14;0;9.82;11.260000000000002;11.98;43.839999999999996;12.5;13.02
KVB;62.02;14.53;27.65;26.69;31.1;12.64;9.82;0;6.05;21.46;34.83;21.41;20.98
NLNVAL;66.75999999999999;11.58;33.66;27.76;33.709999999999994;12.91;11.260000000000002;6.05;0;21.25;39.07;20.560000000000002;19.46
STC;81.99;13.52;42.43;8.45;18.28;12.15;11.98;21.46;21.25;0;55.82;2.8;5.88
TEQTRC;30.57;48.53;25.63;59.33;59.81;47.2;43.839999999999996;34.83;39.07;55.82;0;56.12;55.81
STA;82.7;11.65;43.9;11.05;21.06;12.24;12.5;21.41;20.560000000000002;2.8;56.12;0;3.12
STB;82.81;9.39;44.98;14.17;24.16;12.4;13.02;20.98;19.46;5.88;55.81;3.12;0


