from/to;MON;APT;ASL;KVB;MID;NLNVAL;OSC;OSE;OSS;TRO;VFB;OSO;TEN;TRB;TEQ;TRC
MON;0;63.84;76.23;62.02;78.3;66.75999999999999;54.92;56.05;60.09;28.48;49.41;49.3;32.18;32.08;30.11;28.67
APT;63.84;0;53.23;49.32;26.44;48.65;20.41;13.29;6.61;35.61;30.83;26.2;34.77;36.79;42.59;43.89
ASL;76.23;53.23;0;14.53;34.23;11.58;35.83;42.48;47.48;56.53;31.51;35.09;49.11;47.33;46.73;47.98
KVB;62.02;49.32;14.53;0;37.56;6.05;29.38;36.72;42.88;44.39;21.46;26.04;36.8;34.61;33.08;34.22
MID;78.3;26.44;34.23;37.56;0;34.64;23.38;23.96;23.92;50.85;30.88;29.39;46.13;46.49;50.16;51.74
NLNVAL;66.75999999999999;48.65;11.58;6.05;34.64;0;29.44;36.61;42.4;47.5;23.13;27.26;39.989999999999995;38.07;37.269999999999996;38.51
OSC;54.92;20.41;35.83;29.38;23.38;29.44;0;7.35;13.81;27.74;10.8;6.98;22.75;23.24;27.46;29.01
OSE;56.05;13.29;42.48;36.72;23.96;36.61;7.35;0;6.71;27.76;17.53;12.95;24.58;25.92;31.12;32.57
OSS;60.09;6.61;47.48;42.88;23.92;42.4;13.81;6.71;0;31.61;24.23;19.65;17.37;17.25;20.84;22.41
TRO;28.48;35.61;56.53;44.39;50.85;47.5;27.74;27.76;31.61;0;25.51;23.51;10.62;7.859999999999999;36.97;38.34
VFB;49.41;30.83;31.51;21.46;30.88;23.13;10.8;17.53;24.23;25.51;0;4.88;7.59;10.13;9.05;9.89
OSO;49.3;26.2;35.09;26.04;29.39;27.26;6.98;12.95;19.65;23.51;4.88;0;18.54;17.6;6.18;7.22
TEN;32.18;34.77;49.11;36.8;46.13;39.989999999999995;22.75;24.58;17.37;10.62;7.59;18.54;0;3.06;14.68;14.83
TRB;32.08;36.79;47.33;34.61;46.49;38.07;23.24;25.92;17.25;7.859999999999999;10.13;17.6;3.06;0;19.78;21.35
TEQ;30.11;42.59;46.73;33.08;50.16;37.269999999999996;27.46;31.12;20.84;36.97;9.05;6.18;14.68;19.78;0;1.58
TRC;28.67;43.89;47.98;34.22;51.74;38.51;29.01;32.57;22.41;38.34;9.89;7.22;14.83;21.35;1.58;0
