from/to;MON;APT;ASL;DAB;DSA;DSS;GFA;GFB;GFC;KVB;MID;NLN;OSC;OSE;OSO;OSS;STA;STB;STC;TEN;TEQ;TRB;TRC;TRO;VAL;VFB
MON;0;63.84;76.23;42.91;84.06;82.17;72.26;72.16;70.21;62.02;78.3;66.39;54.92;56.05;49.3;60.09;82.7;82.81;81.99;32.18;30.11;32.08;28.67;28.48;65.04;49.41
APT;63.84;0;53.23;62.48;73.95;80.19;56.84;58.37;57.81;49.32;26.44;47.51;20.41;13.29;26.2;6.61;64.85;62.54;66.45;34.77;42.59;36.79;43.89;35.61;47.71;30.83
ASL;76.23;53.23;0;41.44;21.71;30.33;7.96;9.72;11.05;14.53;34.23;9.89;35.83;42.48;35.09;47.48;11.65;9.39;13.52;49.11;46.73;47.33;47.98;56.53;11.19;31.51
DAB;42.91;62.48;41.44;0;42.55;39.4;34.92;34.06;32.06;27.65;60.77;33.4;43.2;49.42;36.54;56.07;43.9;44.98;42.43;33.31;24.58;30.26;24.35;39.18;31.83;32.44
DSA;84.06;73.95;21.71;42.55;0;10.51;17.19;15.85;16.93;26.69;55.9;26.65;55.09;62.23;52.58;67.86;11.05;14.17;8.45;62.84;57.73;60.38;58.57;70.41;26.78;48.11
DSS;82.17;80.19;30.33;39.4;10.51;0;24.03;22.26;22.48;31.1;64.35;32.83;60.47;67.79;56.92;73.84;21.06;24.16;18.28;64.65;58.34;61.92;58.93;72.06;32.5;52.16
GFA;72.26;56.84;7.96;34.92;17.19;24.03;0;1.89;3.17;10.74;40.5;9.47;37.92;45.04;35.7;50.69;10.68;10.57;10.83;47.5;43.73;45.34;44.82;55.08;9.73;31.44
GFB;72.16;58.37;9.72;34.06;15.85;22.26;1.89;0;2.02;11.29;42.36;10.88;39.26;46.44;36.8;52.18;10.55;10.99;10.21;48.07;43.97;45.82;45.01;55.66;10.93;32.42
GFC;70.21;57.81;11.05;32.06;16.93;22.48;3.17;2.02;0;9.82;42.66;10.35;38.43;45.67;35.66;51.54;12.5;13.02;11.98;46.45;42.16;44.15;43.17;54.04;10.12;31.18
KVB;62.02;49.32;14.53;27.65;26.69;31.1;10.74;11.29;9.82;0;37.56;5.78;29.38;36.72;26.04;42.88;21.41;20.98;21.46;36.8;33.08;34.61;34.22;44.39;4.23;21.46
MID;78.3;26.44;34.23;60.77;55.9;64.35;40.5;42.36;42.66;37.56;0;33.09;23.38;23.96;29.39;23.92;45.3;42.43;47.56;46.13;50.16;46.49;51.74;50.85;34.1;30.88
NLN;66.39;47.51;9.89;33.4;26.65;32.83;9.47;10.88;10.35;5.78;33.09;0;28.45;35.58;26.46;41.3;19.18;17.97;19.97;39.44;36.84;37.56;38.1;46.93;1.57;22.41
OSC;54.92;20.41;35.83;43.2;55.09;60.47;37.92;39.26;38.43;29.38;23.38;28.45;0;7.35;6.98;13.81;47.04;45.17;48.22;22.75;27.46;23.24;29.01;27.74;28.35;10.8
OSE;56.05;13.29;42.48;49.42;62.23;67.79;45.04;46.44;45.67;36.72;23.96;35.58;7.35;0;12.95;6.71;53.87;51.86;55.18;24.58;31.12;25.92;32.57;27.76;35.56;17.53
OSO;49.3;26.2;35.09;36.54;52.58;56.92;35.7;36.8;35.66;26.04;29.39;26.46;6.98;12.95;0;19.65;45.61;44.14;46.41;17.37;20.84;17.25;22.41;23.51;25.98;4.88
OSS;60.09;6.61;47.48;56.07;67.86;73.84;50.69;52.18;51.54;42.88;23.92;41.3;13.81;6.71;19.65;0;59.04;56.85;60.52;29.68;36.97;31.41;38.34;31.61;41.42;24.23
STA;82.7;64.85;11.65;43.9;11.05;21.06;10.68;10.55;12.5;21.41;45.3;19.18;47.04;53.87;45.61;59.04;0;3.12;2.8;58.12;54.4;56.0;55.47;65.68;19.87;41.59
STB;82.81;62.54;9.39;44.98;14.17;24.16;10.57;10.99;13.02;20.98;42.43;17.97;45.17;51.86;44.14;56.85;3.12;0;5.88;57.32;54.06;55.32;55.2;64.84;18.87;40.31
STC;81.99;66.45;13.52;42.43;8.45;18.28;10.83;10.21;11.98;21.46;47.56;19.97;48.22;55.18;46.41;60.52;2.8;5.88;0;58.26;54.14;56.03;55.15;65.84;20.46;42.23
TEN;32.18;34.77;49.11;33.31;62.84;64.65;47.5;48.07;46.45;36.8;46.13;39.44;22.75;24.58;17.37;29.68;58.12;57.32;58.26;0;9.05;3.06;9.89;7.59;38.45;18.54
TEQ;30.11;42.59;46.73;24.58;57.73;58.34;43.73;43.97;42.16;33.08;50.16;36.84;27.46;31.12;20.84;36.97;54.4;54.06;54.14;9.05;0;6.18;1.58;14.68;35.6;19.78
TRB;32.08;36.79;47.33;30.26;60.38;61.92;45.34;45.82;44.15;34.61;46.49;37.56;23.24;25.92;17.25;31.41;56.0;55.32;56.03;3.06;6.18;0;7.22;10.13;36.5;17.6
TRC;28.67;43.89;47.98;24.35;58.57;58.93;44.82;45.01;43.17;34.22;51.74;38.1;29.01;32.57;22.41;38.34;55.47;55.2;55.15;9.89;1.58;7.22;0;14.83;36.83;21.35
TRO;28.48;35.61;56.53;39.18;70.41;72.06;55.08;55.66;54.04;44.39;50.85;46.93;27.74;27.76;23.51;31.61;65.68;64.84;65.84;7.59;14.68;10.13;14.83;0;45.97;25.51
VAL;65.04;47.71;11.19;31.83;26.78;32.5;9.73;10.93;10.12;4.23;34.1;1.57;28.35;35.56;25.98;41.42;19.87;18.87;20.46;38.45;35.6;36.5;36.83;45.97;0;21.77
VFB;49.41;30.83;31.51;32.44;48.11;52.16;31.44;32.42;31.18;21.46;30.88;22.41;10.8;17.53;4.88;24.23;41.59;40.31;42.23;18.54;19.78;17.6;21.35;25.51;21.77;0
