MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,TENTEQTRBTRCTRO,MON
MON,DAB,KVBNLNVAL,MON
MON,DAB,OSCOSE,MON
MON,GFAGFBGFC,MID,MON
MON,OSCOSE,OSOVFB,MON
MON,APTOSS,ASL,DSS,MON
MON,DAB,TENTEQTRBTRCTRO,MON
MON,DSS,GFAGFBGFC,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,OSCOSE,TENTEQTRBTRCTRO,MON
MON,KVBNLNVAL,MID,OSCOSE,MON
MON,TENTEQTRBTRCTRO,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,APTOSS,OSOVFB,MON
MON,DAB,OSOVFB,MON
MON,DSS,KVBNLNVAL,MON
MON,APTOSS,MID,MON
MON,OSCOSE,OSOVFB,MON
MON,DSS,MID,TENTEQTRBTRCTRO,MON
MON,OSCOSE,MON
MON,ASL,OSCOSE,MON
MON,GFAGFBGFC,MON
MON,ASL,OSCOSE,MON
MON,APTOSS,KVBNLNVAL,MON
MON,MID,TENTEQTRBTRCTRO,MON
