MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,DAB,TENTEQTRBTRC,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,TRO,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,KVBNLNVAL,TENTEQTRBTRC,MON
MON,OSCOSE,OSOVFB,MON
MON,APTOSS,ASL,DSS,MON
MON,DAB,KVBNLNVAL,TRO,MON
MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,TENTEQTRBTRC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,MID,MON
MON,APTOSS,OSOVFB,MON
MON,ASL,GFAGFBGFC,MON
MON,DAB,OSOVFB,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DSS,GFAGFBGFC,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TRO,MON
MON,TENTEQTRBTRC,TRO,MON
MON,APTOSS,KVBNLNVAL,OSOVFB,MON
MON,APTOSS,MID,OSCOSE,TRO,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,DAB,DSS,MID,TRO,MON
MON,DSS,KVBNLNVAL,MID,TRO,MON
