MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVBNLNVAL,MON
MON,MID,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRC,MON
MON,TRO,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,MID,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,KVBNLNVAL,MON
MON,ASL,MID,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TRO,MON
MON,DAB,DSS,MON
MON,DAB,MID,MON
MON,DAB,OSOVFB,MON
MON,DAB,TRO,MON
MON,DSS,KVBNLNVAL,MON
MON,DSS,MID,MON
MON,DSS,OSOVFB,MON
MON,DSS,TRO,MON
MON,KVBNLNVAL,MID,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,KVBNLNVAL,TRO,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTEQTRBTRC,MON
MON,MID,TRO,MON
MON,OSCOSE,TRO,MON
MON,OSOVFB,TRO,MON
MON,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,TRO,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,DAB,MID,TRO,MON
MON,DSS,MID,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,KVBNLNVAL,MID,TRO,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TRO,MON
