MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTRB,MON
MON,TEQTRC,MON
MON,TRO,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,MID,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTRB,MON
MON,APTOSS,TEQTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTRB,MON
MON,ASL,TEQTRC,MON
MON,ASL,TRO,MON
MON,DAB,DSS,MON
MON,DAB,KVB,MON
MON,DAB,MID,MON
MON,DAB,NLNVAL,MON
MON,DAB,OSOVFB,MON
MON,DAB,TENTRB,MON
MON,DAB,TEQTRC,MON
MON,DAB,TRO,MON
MON,DSS,KVB,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTRB,MON
MON,DSS,TEQTRC,MON
MON,DSS,TRO,MON
MON,KVB,MID,MON
MON,KVB,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,KVB,OSOVFB,MON
MON,KVB,TENTRB,MON
MON,KVB,TEQTRC,MON
MON,KVB,TRO,MON
MON,MID,NLNVAL,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTRB,MON
MON,MID,TEQTRC,MON
MON,MID,TRO,MON
MON,NLNVAL,OSOVFB,MON
MON,NLNVAL,TENTRB,MON
MON,NLNVAL,TEQTRC,MON
MON,NLNVAL,TRO,MON
MON,OSCOSE,TENTRB,MON
MON,OSCOSE,TEQTRC,MON
MON,OSCOSE,TRO,MON
MON,OSOVFB,TENTRB,MON
MON,OSOVFB,TEQTRC,MON
MON,OSOVFB,TRO,MON
MON,TENTRB,TEQTRC,MON
MON,TENTRB,TRO,MON
MON,TEQTRC,TRO,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,MID,MON
MON,APTOSS,KVB,TENTRB,MON
MON,APTOSS,KVB,TRO,MON
MON,APTOSS,MID,TENTRB,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TENTRB,TRO,MON
MON,APTOSS,TEQTRC,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,MID,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,KVB,TRO,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,TRO,MON
MON,DAB,MID,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,TRO,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,TRO,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TENTRB,MON
MON,KVB,MID,TEQTRC,MON
MON,KVB,MID,TRO,MON
MON,KVB,NLNVAL,TENTRB,MON
MON,KVB,NLNVAL,TEQTRC,MON
MON,KVB,NLNVAL,TRO,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TENTRB,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,KVB,OSOVFB,TRO,MON
