MON,GFAGFBGFC,MON
MON,STASTB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,NLNVAL,MON
MON,DAB,NLNVAL,MON
MON,DAB,OSOVFB,MON
MON,DAB,TEQTRC,MON
MON,DSA,STC,MON
MON,DSS,STC,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,STC,MON
MON,OSE,OSOVFB,MON
MON,APT,OSE,TRO,MON
MON,APT,OSS,TENTRB,MON
MON,APT,OSS,TEQTRC,MON
MON,APT,STASTB,STC,MON
MON,ASL,DSA,MID,MON
MON,ASL,STASTB,TEQTRC,MON
MON,DAB,DSA,DSS,MON
MON,DAB,TENTRB,TRO,MON
MON,DAB,TEQTRC,TRO,MON
MON,DSA,DSS,STC,MON
MON,KVB,NLNVAL,TEQTRC,MON
MON,KVB,STASTB,STC,MON
MON,MID,STASTB,STC,MON
MON,OSC,OSE,OSS,MON
MON,OSC,OSE,TENTRB,MON
MON,OSC,OSOVFB,TENTRB,MON
MON,OSE,OSOVFB,TRO,MON
MON,OSE,OSS,TENTRB,MON
MON,OSE,OSS,TRO,MON
MON,OSOVFB,TENTRB,TEQTRC,MON
MON,STASTB,STC,TENTRB,MON
MON,APT,MID,OSE,OSOVFB,MON
MON,ASL,DSA,DSS,KVB,MON
MON,ASL,DSA,DSS,MID,MON
MON,DAB,OSC,OSOVFB,TRO,MON
MON,DAB,OSOVFB,TEQTRC,MON
MON,OSC,OSE,OSS,TENTRB,MON
MON,OSE,OSOVFB,TENTRB,TRO,MON
MON,APT,MID,OSE,OSS,TRO,MON
MON,DAB,TEQTRC,MON
MON,GFAGFBGFC,TENTRB,MON
MON,ASL,DSA,DSS,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,DSA,DSS,NLNVAL,MON
MON,KVB,NLNVAL,STASTB,MON
MON,KVB,STASTB,STC,MON
MON,MID,STASTB,STC,MON
MON,OSE,OSOVFB,OSS,MON
MON,OSE,OSOVFB,TRO,MON
MON,APT,OSC,OSE,OSS,MON
MON,ASL,NLNVAL,MON
MON,DAB,NLNVAL,MON
MON,DSA,DSS,MON
MON,DSA,STC,MON
MON,DSS,STC,MON
MON,KVB,STASTB,MON
MON,MID,STASTB,MON
MON,OSE,OSOVFB,MON
MON,STASTB,TENTRB,MON
MON,APT,MID,OSE,MON
MON,APT,OSS,TEQTRC,MON
MON,ASL,DSA,KVB,MON
MON,OSC,OSOVFB,TENTRB,MON
MON,OSE,OSS,TRO,MON
