MON,ASL,NLNVAL,MON
MON,DAB,NLNVAL,MON
MON,DAB,TEQTRC,MON
MON,DSA,DSS,MON
MON,GFAGFB,KVB,MON
MON,GFAGFB,VFB,MON
MON,GFC,STC,MON
MON,STA,STB,MON
MON,APT,OSS,TEN,MON
MON,ASL,STA,VFB,MON
MON,MID,STA,STB,MON
MON,OSC,OSE,OSO,MON
MON,OSC,OSE,TRO,MON
MON,OSE,OSO,TEN,MON
MON,OSE,OSO,VFB,MON
MON,OSE,OSS,TRO,MON
MON,TEN,TEQTRC,TRB,MON
MON,ASL,DSA,DSS,MON
MON,DAB,TEN,TEQTRC,MON
MON,DAB,TEQTRC,TRB,MON
MON,GFAGFB,GFC,KVB,MON
MON,GFAGFB,GFC,OSO,MON
MON,GFAGFB,NLNVAL,TRO,MON
MON,NLNVAL,STA,STB,MON
MON,NLNVAL,STA,STC,MON
MON,OSE,OSO,VFB,MON
MON,OSE,OSS,VFB,MON
MON,STA,STB,STC,MON
MON,APT,MID,OSE,OSS,MON
MON,OSC,OSE,TEN,TRO,MON
MON,APT,MID,OSC,OSO,VFB,MON
MON,GFAGFB,MON
MON,ASL,NLNVAL,MON
MON,DAB,NLNVAL,MON
MON,DAB,TEQTRC,MON
MON,DSA,DSS,MON
MON,GFAGFB,KVB,MON
MON,GFC,STC,MON
MON,ASL,GFAGFB,GFC,MON
MON,DAB,DSA,DSS,MON
MON,DAB,DSA,STB,MON
MON,DAB,DSA,STC,MON
MON,DAB,NLNVAL,STB,MON
MON,DAB,OSE,TEN,MON
MON,DAB,TEN,TEQTRC,MON
MON,DSA,GFAGFB,VFB,MON
MON,DSA,STB,STC,MON
MON,GFAGFB,GFC,STA,MON
MON,GFAGFB,MID,OSE,MON
MON,GFAGFB,NLNVAL,TRB,MON
MON,GFAGFB,NLNVAL,VFB,MON
MON,MID,STA,STB,MON
MON,OSC,OSE,TEN,MON
MON,OSE,OSO,TEN,MON
MON,OSE,OSO,VFB,MON
MON,OSE,OSS,TEN,MON
MON,OSE,OSS,TRO,MON
MON,OSE,TEN,TEQTRC,MON
MON,TEN,TEQTRC,TRB,MON
MON,APT,OSS,TEN,TRO,MON
MON,ASL,STA,STB,VFB,MON
MON,KVB,NLNVAL,STA,STB,MON
MON,KVB,NLNVAL,STA,STC,MON
MON,KVB,STA,STB,STC,MON
MON,NLNVAL,STB,STC,TRO,MON
MON,OSC,OSE,OSS,TEQTRC,MON
MON,OSC,OSE,TEN,TRO,MON
MON,OSE,OSS,TEN,TEQTRC,MON
MON,OSE,OSS,TEN,TRB,MON
MON,OSO,STA,STB,STC,MON
MON,APT,MID,OSE,OSO,VFB,MON
MON,OSC,OSO,TEN,TRB,TRO,MON
MON,OSC,OSS,TEN,TRB,TRO,MON
MON,OSO,TEN,TEQTRC,TRB,TRO,MON
MON,KVB,MID,OSO,TEN,TRB,TRO,MON
