MON,ASLGFAGFBGFC,MON
MON,DSASTASTBSTC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRCTRO,MON
MON,ASLGFAGFBGFC,MID,MON
MON,DAB,DSS,MON
MON,DAB,KVBNLNVAL,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRCTRO,MON
MON,DSS,KVBNLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,TENTEQTRBTRCTRO,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,KVBNLNVAL,TENTEQTRBTRCTRO,MON
MON,MID,TENTEQTRBTRCTRO,MON
MON,OSCOSE,TENTEQTRBTRCTRO,MON
MON,OSOVFB,TENTEQTRBTRCTRO,MON
MON,APTOSS,DAB,DSS,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DSS,KVBNLNVAL,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,KVBNLNVAL,MID,MON
MON,APTOSS,KVBNLNVAL,OSOVFB,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRCTRO,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,OSOVFB,MON
MON,DAB,KVBNLNVAL,MID,MON
MON,DAB,MID,OSCOSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DSS,KVBNLNVAL,MID,MON
MON,DSS,KVBNLNVAL,OSOVFB,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTEQTRBTRCTRO,MON
MON,KVBNLNVAL,MID,OSCOSE,MON
MON,KVBNLNVAL,MID,OSOVFB,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSOVFB,TENTEQTRBTRCTRO,MON
