MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRCTRO,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,KVBNLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,TENTEQTRBTRCTRO,MON
MON,DAB,DSS,MON
MON,DAB,KVBNLNVAL,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRCTRO,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,KVBNLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,TENTEQTRBTRCTRO,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,KVBNLNVAL,TENTEQTRBTRCTRO,MON
MON,MID,TENTEQTRBTRCTRO,MON
MON,OSCOSE,TENTEQTRBTRCTRO,MON
MON,OSOVFB,TENTEQTRBTRCTRO,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVBNLNVAL,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,OSCOSE,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,DAB,DSS,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DSS,KVBNLNVAL,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,KVBNLNVAL,MID,MON
MON,APTOSS,KVBNLNVAL,OSOVFB,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRCTRO,MON
MON,ASL,DAB,DSS,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,OSOVFB,MON
MON,ASL,DSS,KVBNLNVAL,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,OSCOSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,KVBNLNVAL,MID,MON
MON,ASL,KVBNLNVAL,OSOVFB,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTEQTRBTRCTRO,MON
MON,ASL,OSCOSE,OSOVFB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,OSOVFB,MON
MON,DAB,KVBNLNVAL,MID,MON
MON,DAB,MID,OSCOSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DSS,KVBNLNVAL,MID,MON
MON,DSS,KVBNLNVAL,OSOVFB,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTEQTRBTRCTRO,MON
MON,KVBNLNVAL,MID,OSCOSE,MON
MON,KVBNLNVAL,MID,OSOVFB,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSOVFB,TENTEQTRBTRCTRO,MON
MON,APTOSS,ASL,MID,OSOVFB,MON
MON,ASL,DSS,MID,OSOVFB,MON
