MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,KVBNLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,TENTEQTRBTRC,MON
MON,DAB,DSS,MON
MON,DAB,KVBNLNVAL,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,KVBNLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,TENTEQTRBTRC,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,KVBNLNVAL,TENTEQTRBTRC,MON
MON,MID,TENTEQTRBTRC,MON
MON,OSCOSE,TENTEQTRBTRC,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVBNLNVAL,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,OSCOSE,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,DSS,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSS,KVBNLNVAL,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVBNLNVAL,MID,MON
MON,APTOSS,KVBNLNVAL,OSOVFB,MON
MON,APTOSS,KVBNLNVAL,TRO,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRC,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TENTEQTRBTRC,TRO,MON
MON,ASL,DAB,DSS,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,OSOVFB,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSS,KVBNLNVAL,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,OSCOSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVBNLNVAL,MID,MON
MON,ASL,KVBNLNVAL,OSOVFB,MON
MON,ASL,KVBNLNVAL,TRO,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,OSCOSE,OSOVFB,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTEQTRBTRC,TRO,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,OSOVFB,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVBNLNVAL,MID,MON
MON,DAB,KVBNLNVAL,TRO,MON
MON,DAB,MID,OSCOSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TRO,MON
MON,DAB,OSCOSE,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DSS,KVBNLNVAL,MID,MON
MON,DSS,KVBNLNVAL,OSOVFB,MON
MON,DSS,KVBNLNVAL,TRO,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTEQTRBTRC,MON
MON,DSS,OSCOSE,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTEQTRBTRC,TRO,MON
MON,GFAGFBGFC,MID,TRO,MON
MON,KVBNLNVAL,MID,OSCOSE,MON
MON,KVBNLNVAL,MID,OSOVFB,MON
MON,KVBNLNVAL,MID,TRO,MON
MON,KVBNLNVAL,OSCOSE,TRO,MON
MON,KVBNLNVAL,OSOVFB,TRO,MON
MON,KVBNLNVAL,TENTEQTRBTRC,TRO,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TENTEQTRBTRC,MON
MON,MID,TENTEQTRBTRC,TRO,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,OSOVFB,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,DSS,TRO,MON
MON,APTOSS,ASL,MID,OSOVFB,MON
MON,APTOSS,ASL,MID,TRO,MON
MON,APTOSS,ASL,OSOVFB,TRO,MON
MON,APTOSS,KVBNLNVAL,MID,TRO,MON
MON,APTOSS,MID,OSCOSE,TRO,MON
MON,APTOSS,MID,OSOVFB,TRO,MON
