MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,OSCOSE,MON
MON,ASL,TENTEQTRBTRC,MON
MON,DAB,DSS,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,OSCOSE,MON
MON,DSS,TENTEQTRBTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,TENTEQTRBTRC,MON
MON,MID,TENTEQTRBTRC,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,TENTEQTRBTRC,MON
MON,OSCOSE,TENTEQTRBTRC,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSCOSE,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,DSS,MON
MON,APTOSS,DAB,KVB,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,NLNVAL,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSS,KVB,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,NLNVAL,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,NLNVAL,MON
MON,APTOSS,KVB,OSCOSE,MON
MON,APTOSS,KVB,OSOVFB,MON
MON,APTOSS,KVB,TENTEQTRBTRC,MON
MON,APTOSS,MID,NLNVAL,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRC,MON
MON,APTOSS,NLNVAL,OSOVFB,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TENTEQTRBTRC,TRO,MON
MON,ASL,DAB,DSS,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,NLNVAL,MON
MON,ASL,DAB,OSOVFB,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSCOSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSCOSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTEQTRBTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,NLNVAL,OSCOSE,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSCOSE,OSOVFB,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTEQTRBTRC,TRO,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,NLNVAL,MON
MON,DAB,DSS,OSOVFB,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLNVAL,MON
MON,DAB,KVB,OSCOSE,MON
MON,DAB,KVB,OSOVFB,MON
MON,DAB,MID,NLNVAL,MON
MON,DAB,MID,OSCOSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TRO,MON
MON,DAB,NLNVAL,OSOVFB,MON
MON,DAB,NLNVAL,TRO,MON
MON,DAB,OSCOSE,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSCOSE,MON
MON,DSS,KVB,OSOVFB,MON
MON,DSS,KVB,TENTEQTRBTRC,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTEQTRBTRC,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSCOSE,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTEQTRBTRC,TRO,MON
MON,GFAGFBGFC,KVB,MID,MON
