MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,ASL,DAB,MON
MON,ASL,OSCOSE,MON
MON,ASL,TENTEQTRBTRC,MON
MON,DAB,DSS,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTEQTRBTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,OSCOSE,MON
MON,KVB,TENTEQTRBTRC,MON
MON,MID,OSCOSE,MON
MON,MID,TENTEQTRBTRC,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,TENTEQTRBTRC,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,KVB,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSS,KVB,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,NLNVAL,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,MID,MON
MON,APTOSS,KVB,NLNVAL,MON
MON,APTOSS,KVB,OSCOSE,MON
MON,APTOSS,KVB,OSOVFB,MON
MON,APTOSS,KVB,TRO,MON
MON,APTOSS,MID,NLNVAL,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,NLNVAL,OSOVFB,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSCOSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTEQTRBTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTEQTRBTRC,TRO,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLNVAL,MON
MON,DAB,KVB,OSOVFB,MON
MON,DAB,MID,NLNVAL,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TRO,MON
MON,DAB,NLNVAL,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSCOSE,MON
MON,DSS,KVB,OSOVFB,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSCOSE,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTEQTRBTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSCOSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TENTEQTRBTRC,MON
MON,KVB,NLNVAL,OSCOSE,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,OSCOSE,OSOVFB,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,TENTEQTRBTRC,TRO,MON
MON,MID,NLNVAL,OSCOSE,MON
MON,MID,NLNVAL,OSOVFB,MON
