MON,GFAGFBGFC,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,NLNVAL,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,DAB,DSS,MON
MON,DAB,MID,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTRB,MON
MON,DSS,TEQTRC,MON
MON,KVB,OSCOSE,MON
MON,MID,OSCOSE,MON
MON,TENTRB,TEQTRC,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,MID,MON
MON,APTOSS,KVB,TENTRB,MON
MON,APTOSS,KVB,TRO,MON
MON,APTOSS,MID,TENTRB,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TEQTRC,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,MID,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,MID,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,TRO,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,TRO,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TENTRB,MON
MON,KVB,MID,TEQTRC,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,MID,NLNVAL,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,MID,NLNVAL,TRO,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,MID,OSOVFB,TRO,MON
MON,MID,TENTRB,TEQTRC,MON
MON,MID,TEQTRC,TRO,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TEQTRC,TRO,MON
MON,APTOSS,KVB,MID,TRO,MON
MON,ASL,KVB,MID,TRO,MON
MON,DSS,KVB,MID,TRO,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTRB,TRO,MON
MON,KVB,MID,TEQTRC,TRO,MON
