MON,DSASTASTBSTC,MON
MON,DAB,OSCOSE,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,OSCOSE,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,NLNVAL,OSCOSE,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DAB,TENTRB,MON
MON,APTOSS,OSOVFB,TEQTRC,MON
MON,DAB,NLNVAL,OSOVFB,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,NLNVAL,OSCOSE,TENTRB,MON
MON,NLNVAL,OSCOSE,TEQTRC,MON
MON,ASL,NLNVAL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TEQTRC,TRO,MON
MON,DSASTASTBSTC,MON
MON,DAB,OSCOSE,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,TENTRB,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,OSOVFB,TEQTRC,MON
MON,ASL,DSS,TEQTRC,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,DAB,TENTRB,TEQTRC,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,DSS,NLNVAL,TEQTRC,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,ASL,DAB,KVB,TRO,MON
