MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,STASTBSTC,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,OSCOSE,MON
MON,ASL,STASTBSTC,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,OSCOSE,MON
MON,DSA,GFAGFBGFC,MON
MON,DSA,OSCOSE,MON
MON,DSA,STASTBSTC,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,OSCOSE,MON
MON,DSS,STASTBSTC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TENTRB,MON
MON,GFAGFBGFC,TEQTRC,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,STASTBSTC,MON
MON,MID,STASTBSTC,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,STASTBSTC,MON
MON,OSOVFB,STASTBSTC,MON
MON,STASTBSTC,TENTRB,MON
MON,STASTBSTC,TEQTRC,MON
MON,STASTBSTC,TRO,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSA,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSCOSE,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TENTRB,MON
MON,APTOSS,ASL,TEQTRC,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,DSA,MON
MON,APTOSS,DAB,DSS,MON
MON,APTOSS,DAB,KVB,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,NLNVAL,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,DAB,TENTRB,MON
MON,APTOSS,DAB,TEQTRC,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSA,DSS,MON
MON,APTOSS,DSA,KVB,MON
MON,APTOSS,DSA,MID,MON
MON,APTOSS,DSA,NLNVAL,MON
MON,APTOSS,DSA,OSOVFB,MON
MON,APTOSS,DSA,TENTRB,MON
MON,APTOSS,DSA,TEQTRC,MON
MON,APTOSS,DSA,TRO,MON
MON,APTOSS,DSS,KVB,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,NLNVAL,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TENTRB,MON
MON,APTOSS,DSS,TEQTRC,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,NLNVAL,MON
MON,APTOSS,KVB,OSCOSE,MON
MON,APTOSS,KVB,OSOVFB,MON
MON,APTOSS,KVB,TENTRB,MON
MON,APTOSS,KVB,TEQTRC,MON
MON,APTOSS,MID,NLNVAL,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTRB,MON
MON,APTOSS,MID,TEQTRC,MON
MON,APTOSS,NLNVAL,OSOVFB,MON
MON,APTOSS,NLNVAL,TENTRB,MON
MON,APTOSS,NLNVAL,TEQTRC,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSCOSE,TENTRB,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TENTRB,MON
MON,APTOSS,OSOVFB,TEQTRC,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TENTRB,TEQTRC,MON
MON,APTOSS,TEQTRC,TRO,MON
MON,ASL,DAB,DSA,MON
MON,ASL,DAB,DSS,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,NLNVAL,MON
MON,ASL,DAB,OSOVFB,MON
MON,ASL,DAB,TENTRB,MON
MON,ASL,DAB,TEQTRC,MON
MON,ASL,DAB,TRO,MON
