MON,STASTBSTC,MON
MON,ASL,STASTBSTC,MON
MON,DAB,OSCOSE,MON
MON,DSA,GFAGFBGFC,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,TEQTRC,MON
MON,KVB,STASTBSTC,MON
MON,MID,STASTBSTC,MON
MON,NLNVAL,STASTBSTC,MON
MON,STASTBSTC,TRO,MON
MON,APTOSS,DAB,NLNVAL,MON
MON,APTOSS,DAB,OSOVFB,MON
MON,APTOSS,NLNVAL,TEQTRC,MON
MON,APTOSS,OSCOSE,TENTRB,MON
MON,APTOSS,OSOVFB,TENTRB,MON
MON,APTOSS,OSOVFB,TEQTRC,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TENTRB,MON
MON,ASL,DSS,TEQTRC,MON
MON,DAB,OSOVFB,TEQTRC,MON
MON,DSS,KVB,OSCOSE,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,MID,OSOVFB,TENTRB,MON
MON,OSCOSE,TEQTRC,TRO,MON
MON,ASL,MID,NLNVAL,TENTRB,MON
MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,DAB,OSCOSE,MON
MON,GFAGFBGFC,TENTRB,MON
MON,KVB,STASTBSTC,MON
MON,MID,STASTBSTC,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,OSCOSE,TRO,MON
MON,APTOSS,OSOVFB,TEQTRC,MON
MON,ASL,DSA,DSS,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,DAB,TENTRB,TEQTRC,MON
MON,NLNVAL,OSOVFB,TEQTRC,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APTOSS,DAB,MON
MON,ASL,OSCOSE,MON
MON,DAB,DSS,MON
MON,DSA,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,MID,OSCOSE,MON
MON,TENTRB,TEQTRC,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,MID,OSOVFB,TENTRB,MON
