MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSA,MON
MON,APTOSS,DSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,NLNVAL,MON
MON,ASL,DAB,MON
MON,ASL,DSA,MON
MON,ASL,DSS,MON
MON,ASL,OSE,MON
MON,ASL,OSOVFB,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,MID,MON
MON,DSA,DSS,MON
MON,DSA,MID,MON
MON,DSA,NLNVAL,MON
MON,DSA,OSC,MON
MON,DSA,OSE,MON
MON,DSA,OSOVFB,MON
MON,DSA,TENTRB,MON
MON,DSA,TEQTRC,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSC,MON
MON,DSS,OSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTRB,MON
MON,DSS,TEQTRC,MON
MON,NLNVAL,OSE,MON
MON,TENTRB,TEQTRC,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DSA,TRO,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,MID,MON
MON,APTOSS,KVB,OSC,MON
MON,APTOSS,KVB,TENTRB,MON
MON,APTOSS,KVB,TRO,MON
MON,APTOSS,MID,OSC,MON
MON,APTOSS,MID,TENTRB,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TEQTRC,TRO,MON
MON,ASL,DSA,KVB,MON
MON,ASL,DSA,MID,MON
MON,ASL,DSA,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,MID,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSC,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSC,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSC,TENTRB,MON
MON,ASL,OSC,TEQTRC,MON
MON,ASL,OSC,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,MID,TRO,MON
MON,DSA,DSS,TRO,MON
MON,DSA,KVB,MID,MON
MON,DSA,KVB,OSC,MON
MON,DSA,KVB,TENTRB,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,KVB,TRO,MON
MON,DSA,MID,OSC,MON
MON,DSA,MID,TENTRB,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,MID,TRO,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,OSC,TENTRB,MON
MON,DSA,OSC,TRO,MON
MON,DSA,OSOVFB,TRO,MON
MON,DSA,TENTRB,TRO,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,OSC,MON
