MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSA,MON
MON,APTOSS,DSS,MON
MON,APTOSS,NLNVAL,MON
MON,ASL,DAB,MON
MON,ASL,OSE,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,OSE,MON
MON,DSA,DSS,MON
MON,DSA,NLNVAL,MON
MON,DSA,OSE,MON
MON,DSA,OSOVFB,MON
MON,DSA,TEQTRC,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TEQTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,OSC,MON
MON,GFAGFBGFC,TENTRB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,STASTBSTC,MON
MON,MID,STASTBSTC,MON
MON,NLNVAL,OSE,MON
MON,OSC,STASTBSTC,MON
MON,STASTBSTC,TRO,MON
MON,APTOSS,ASL,DSA,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVB,MON
MON,APTOSS,ASL,MID,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,APTOSS,ASL,OSC,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,ASL,TENTRB,MON
MON,APTOSS,ASL,TEQTRC,MON
MON,APTOSS,ASL,TRO,MON
MON,APTOSS,DAB,KVB,MON
MON,APTOSS,DAB,MID,MON
MON,APTOSS,DAB,OSC,MON
MON,APTOSS,DAB,TRO,MON
MON,APTOSS,DSA,DSS,MON
MON,APTOSS,DSA,KVB,MON
MON,APTOSS,DSA,MID,MON
MON,APTOSS,DSA,NLNVAL,MON
MON,APTOSS,DSA,OSC,MON
MON,APTOSS,DSA,OSOVFB,MON
MON,APTOSS,DSA,TENTRB,MON
MON,APTOSS,DSA,TEQTRC,MON
MON,APTOSS,DSA,TRO,MON
MON,APTOSS,DSS,KVB,MON
MON,APTOSS,DSS,MID,MON
MON,APTOSS,DSS,NLNVAL,MON
MON,APTOSS,DSS,OSC,MON
MON,APTOSS,DSS,OSOVFB,MON
MON,APTOSS,DSS,TENTRB,MON
MON,APTOSS,DSS,TEQTRC,MON
MON,APTOSS,DSS,TRO,MON
MON,APTOSS,KVB,MID,MON
MON,APTOSS,KVB,NLNVAL,MON
MON,APTOSS,KVB,OSC,MON
MON,APTOSS,KVB,OSE,MON
MON,APTOSS,KVB,OSOVFB,MON
MON,APTOSS,KVB,TENTRB,MON
MON,APTOSS,KVB,TEQTRC,MON
MON,APTOSS,KVB,TRO,MON
MON,APTOSS,MID,NLNVAL,MON
MON,APTOSS,MID,OSC,MON
MON,APTOSS,MID,OSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTRB,MON
MON,APTOSS,MID,TEQTRC,MON
MON,APTOSS,MID,TRO,MON
MON,APTOSS,NLNVAL,OSC,MON
MON,APTOSS,NLNVAL,OSOVFB,MON
MON,APTOSS,NLNVAL,TENTRB,MON
MON,APTOSS,NLNVAL,TEQTRC,MON
MON,APTOSS,NLNVAL,TRO,MON
MON,APTOSS,OSC,OSE,MON
MON,APTOSS,OSC,OSOVFB,MON
MON,APTOSS,OSC,TENTRB,MON
MON,APTOSS,OSC,TEQTRC,MON
MON,APTOSS,OSE,TENTRB,MON
MON,APTOSS,OSE,TRO,MON
MON,APTOSS,OSOVFB,TENTRB,MON
MON,APTOSS,OSOVFB,TEQTRC,MON
MON,APTOSS,OSOVFB,TRO,MON
MON,APTOSS,TENTRB,TEQTRC,MON
MON,APTOSS,TEQTRC,TRO,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,OSC,MON
MON,ASL,DAB,TENTRB,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSA,DSS,MON
MON,ASL,DSA,KVB,MON
MON,ASL,DSA,MID,MON
MON,ASL,DSA,NLNVAL,MON
MON,ASL,DSA,OSC,MON
MON,ASL,DSA,OSE,MON
MON,ASL,DSA,OSOVFB,MON
MON,ASL,DSA,TENTRB,MON
MON,ASL,DSA,TEQTRC,MON
MON,ASL,DSA,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSC,MON
MON,ASL,DSS,OSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TENTRB,MON
MON,ASL,DSS,TEQTRC,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSC,MON
MON,ASL,KVB,OSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSC,MON
MON,ASL,MID,OSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,NLNVAL,OSC,MON
MON,ASL,NLNVAL,OSE,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,ASL,NLNVAL,TENTRB,MON
MON,ASL,NLNVAL,TEQTRC,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSC,OSE,MON
MON,ASL,OSC,OSOVFB,MON
MON,ASL,OSC,TENTRB,MON
MON,ASL,OSC,TEQTRC,MON
MON,ASL,OSE,OSOVFB,MON
MON,ASL,OSE,TENTRB,MON
MON,ASL,OSE,TEQTRC,MON
MON,ASL,OSE,TRO,MON
MON,ASL,OSOVFB,TENTRB,MON
MON,ASL,OSOVFB,TEQTRC,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TEQTRC,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,DSA,KVB,MON
MON,DAB,DSA,MID,MON
MON,DAB,DSA,OSC,MON
MON,DAB,DSA,TRO,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,OSC,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLNVAL,MON
MON,DAB,KVB,OSC,MON
MON,DAB,KVB,OSE,MON
MON,DAB,KVB,OSOVFB,MON
MON,DAB,KVB,TENTRB,MON
MON,DAB,KVB,TEQTRC,MON
MON,DAB,MID,NLNVAL,MON
MON,DAB,MID,OSC,MON
MON,DAB,MID,OSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TENTRB,MON
MON,DAB,MID,TEQTRC,MON
MON,DAB,MID,TRO,MON
MON,DAB,NLNVAL,OSC,MON
MON,DAB,NLNVAL,TRO,MON
MON,DAB,OSC,OSOVFB,MON
MON,DAB,OSC,TENTRB,MON
MON,DAB,OSC,TEQTRC,MON
MON,DAB,OSE,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DAB,TENTRB,TEQTRC,MON
MON,DSA,DSS,KVB,MON
MON,DSA,DSS,MID,MON
