MON,APT,GFAGFB,MON
MON,APT,STASTB,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFB,MON
MON,ASL,OSE,MON
MON,ASL,STASTB,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,GFAGFB,MON
MON,DAB,OSE,MON
MON,DAB,STASTB,MON
MON,DAB,STC,MON
MON,DSA,GFAGFB,MON
MON,DSA,OSE,MON
MON,DSA,STASTB,MON
MON,DSS,GFAGFB,MON
MON,DSS,OSE,MON
MON,DSS,STASTB,MON
MON,GFAGFB,GFC,MON
MON,GFAGFB,MID,MON
MON,GFAGFB,NLNVAL,MON
MON,GFAGFB,OSC,MON
MON,GFAGFB,OSE,MON
MON,GFAGFB,OSO,MON
MON,GFAGFB,OSS,MON
MON,GFAGFB,STASTB,MON
MON,GFAGFB,STC,MON
MON,GFAGFB,TENTRB,MON
MON,GFAGFB,TEQTRC,MON
MON,GFAGFB,VFB,MON
MON,GFC,OSE,MON
MON,GFC,STASTB,MON
MON,KVB,STASTB,MON
MON,MID,STASTB,MON
MON,NLNVAL,OSE,MON
MON,NLNVAL,STASTB,MON
MON,OSC,STASTB,MON
MON,OSE,STASTB,MON
MON,OSE,STC,MON
MON,OSO,STASTB,MON
MON,OSS,STASTB,MON
MON,STASTB,STC,MON
MON,STASTB,TENTRB,MON
MON,STASTB,TEQTRC,MON
MON,STASTB,VFB,MON
MON,APT,ASL,DAB,MON
MON,APT,ASL,DSA,MON
MON,APT,ASL,DSS,MON
MON,APT,ASL,GFAGFB,MON
MON,APT,ASL,GFC,MON
MON,APT,ASL,NLNVAL,MON
MON,APT,ASL,OSC,MON
MON,APT,ASL,OSE,MON
MON,APT,ASL,OSS,MON
MON,APT,ASL,STASTB,MON
MON,APT,ASL,STC,MON
MON,APT,ASL,TENTRB,MON
MON,APT,ASL,TEQTRC,MON
MON,APT,ASL,VFB,MON
MON,APT,DAB,DSA,MON
MON,APT,DAB,DSS,MON
MON,APT,DAB,GFC,MON
MON,APT,DAB,KVB,MON
MON,APT,DAB,MID,MON
MON,APT,DAB,NLNVAL,MON
MON,APT,DAB,OSC,MON
MON,APT,DAB,OSE,MON
MON,APT,DAB,OSO,MON
MON,APT,DAB,OSS,MON
MON,APT,DAB,STC,MON
MON,APT,DAB,TENTRB,MON
MON,APT,DAB,TEQTRC,MON
MON,APT,DAB,TRO,MON
MON,APT,DAB,VFB,MON
MON,APT,DSA,DSS,MON
MON,APT,DSA,GFAGFB,MON
MON,APT,DSA,GFC,MON
MON,APT,DSA,KVB,MON
MON,APT,DSA,MID,MON
MON,APT,DSA,NLNVAL,MON
MON,APT,DSA,OSC,MON
MON,APT,DSA,OSE,MON
MON,APT,DSA,OSO,MON
MON,APT,DSA,OSS,MON
MON,APT,DSA,STASTB,MON
