MON,APT,GFAGFB,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFB,MON
MON,ASL,OSE,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,GFAGFB,MON
MON,DAB,OSE,MON
MON,DAB,STA,MON
MON,DAB,STB,MON
MON,DAB,STC,MON
MON,DSA,GFAGFB,MON
MON,DSA,OSE,MON
MON,DSS,GFAGFB,MON
MON,DSS,OSE,MON
MON,GFAGFB,GFC,MON
MON,GFAGFB,MID,MON
MON,GFAGFB,NLNVAL,MON
MON,GFAGFB,OSC,MON
MON,GFAGFB,OSE,MON
MON,GFAGFB,OSO,MON
MON,GFAGFB,OSS,MON
MON,GFAGFB,STA,MON
MON,GFAGFB,STB,MON
MON,GFAGFB,STC,MON
MON,GFAGFB,TEN,MON
MON,GFAGFB,TEQTRC,MON
MON,GFAGFB,TRB,MON
MON,GFAGFB,VFB,MON
MON,GFC,OSE,MON
MON,NLNVAL,OSE,MON
MON,OSE,STA,MON
MON,OSE,STB,MON
MON,OSE,STC,MON
MON,APT,ASL,DAB,MON
MON,APT,ASL,DSA,MON
MON,APT,ASL,DSS,MON
MON,APT,ASL,GFAGFB,MON
MON,APT,ASL,GFC,MON
MON,APT,ASL,NLNVAL,MON
MON,APT,ASL,OSC,MON
MON,APT,ASL,OSE,MON
MON,APT,ASL,OSS,MON
MON,APT,ASL,STA,MON
MON,APT,ASL,STB,MON
MON,APT,ASL,STC,MON
MON,APT,ASL,TEN,MON
MON,APT,ASL,TEQTRC,MON
MON,APT,ASL,TRB,MON
MON,APT,ASL,VFB,MON
MON,APT,DAB,DSA,MON
MON,APT,DAB,DSS,MON
MON,APT,DAB,GFC,MON
MON,APT,DAB,KVB,MON
MON,APT,DAB,MID,MON
MON,APT,DAB,NLNVAL,MON
MON,APT,DAB,OSC,MON
MON,APT,DAB,OSE,MON
MON,APT,DAB,OSO,MON
MON,APT,DAB,OSS,MON
MON,APT,DAB,STA,MON
MON,APT,DAB,STB,MON
MON,APT,DAB,STC,MON
MON,APT,DAB,TEN,MON
MON,APT,DAB,TEQTRC,MON
MON,APT,DAB,TRB,MON
MON,APT,DAB,TRO,MON
MON,APT,DAB,VFB,MON
MON,APT,DSA,DSS,MON
