MON,APT,MON
MON,KVB,MON
MON,MID,MON
MON,NLN,MON
MON,OSC,MON
MON,OSE,MON
MON,OSO,MON
MON,OSS,MON
MON,TEN,MON
MON,TEQ,MON
MON,TRB,MON
MON,TRC,MON
MON,TRO,MON
MON,VAL,MON
MON,VFB,MON
MON,APT,KVB,MON
MON,APT,MID,MON
MON,APT,NLN,MON
MON,APT,OSC,MON
MON,APT,OSE,MON
MON,APT,OSO,MON
MON,APT,OSS,MON
MON,APT,TEN,MON
MON,APT,TEQ,MON
MON,APT,TRB,MON
MON,APT,TRC,MON
MON,APT,TRO,MON
MON,VAL,APT,MON
MON,APT,VFB,MON
MON,KVB,MID,MON
MON,KVB,NLN,MON
MON,KVB,OSC,MON
MON,OSE,KVB,MON
MON,KVB,OSO,MON
MON,KVB,OSS,MON
MON,KVB,TEN,MON
MON,KVB,TEQ,MON
MON,KVB,TRB,MON
MON,TRC,KVB,MON
MON,KVB,TRO,MON
MON,KVB,VAL,MON
MON,KVB,VFB,MON
MON,MID,NLN,MON
MON,MID,OSC,MON
MON,MID,OSE,MON
MON,MID,OSO,MON
MON,MID,OSS,MON
MON,MID,TEN,MON
MON,MID,TEQ,MON
MON,MID,TRB,MON
MON,MID,TRC,MON
MON,MID,TRO,MON
MON,MID,VAL,MON
MON,MID,VFB,MON
MON,NLN,OSC,MON
MON,NLN,OSE,MON
MON,NLN,OSO,MON
MON,NLN,OSS,MON
MON,NLN,TEN,MON
MON,NLN,TEQ,MON
MON,NLN,TRB,MON
MON,NLN,TRC,MON
MON,NLN,TRO,MON
MON,NLN,VAL,MON
MON,NLN,VFB,MON
MON,OSC,OSE,MON
MON,OSC,OSO,MON
MON,OSC,OSS,MON
MON,OSC,TEN,MON
MON,OSC,TEQ,MON
MON,OSC,TRB,MON
MON,OSC,TRC,MON
MON,OSC,TRO,MON
MON,OSC,VAL,MON
MON,OSC,VFB,MON
MON,OSE,OSO,MON
MON,OSE,OSS,MON
MON,OSE,TEN,MON
MON,OSE,TEQ,MON
MON,OSE,TRB,MON
MON,TRC,OSE,MON
MON,TRO,OSE,MON
MON,OSE,VAL,MON
MON,OSE,VFB,MON
MON,OSO,OSS,MON
MON,OSO,TEN,MON
MON,OSO,TEQ,MON
MON,OSO,TRB,MON
MON,OSO,TRC,MON
MON,TRO,OSO,MON
MON,OSO,VAL,MON
MON,OSO,VFB,MON
MON,TEN,OSS,MON
MON,OSS,TEQ,MON
MON,OSS,TRB,MON
MON,OSS,TRC,MON
MON,OSS,TRO,MON
MON,OSS,VAL,MON
MON,OSS,VFB,MON
MON,TEN,TEQ,MON
MON,TEN,TRB,MON
MON,TEN,TRC,MON
MON,TEN,TRO,MON
MON,TEN,VAL,MON
MON,TEN,VFB,MON
MON,TEQ,TRB,MON
MON,TEQ,TRC,MON
MON,TEQ,TRO,MON
MON,TEQ,VAL,MON
MON,TEQ,VFB,MON
MON,TRB,TRC,MON
MON,TRB,TRO,MON
MON,TRB,VAL,MON
MON,VFB,TRB,MON
MON,TRC,TRO,MON
MON,TRC,VAL,MON
MON,VFB,TRC,MON
