from/to;MON;ASL;DAB;DSA;DSS;GFA;GFB;GFC;KVB;NLN;OSO;STA;STB;STC;TEN;TEQ;TRB;TRC;TRO;VAL;VFB
MON;0;76.23;42.91;84.06;82.17;72.26;72.16;70.21;62.02;66.39;49.3;82.7;82.81;81.99;32.18;30.11;32.08;28.67;28.48;65.04;49.41
ASL;76.23;0;41.44;21.71;30.33;7.96;9.72;11.05;14.53;9.89;35.09;11.65;9.39;13.52;49.11;46.73;47.33;47.98;56.53;11.19;31.51
DAB;42.91;41.44;0;42.55;39.4;34.92;34.06;32.06;27.65;33.4;36.54;43.9;44.98;42.43;33.31;24.58;30.26;24.35;39.18;31.83;32.44
DSA;84.06;21.71;42.55;0;10.51;17.19;15.85;16.93;26.69;26.65;52.58;11.05;14.17;8.45;62.84;57.73;60.38;58.57;70.41;26.78;48.11
DSS;82.17;30.33;39.4;10.51;0;24.03;22.26;22.48;31.1;32.83;56.92;21.06;24.16;18.28;64.65;58.34;61.92;58.93;72.06;32.5;52.16
GFA;72.26;7.96;34.92;17.19;24.03;0;1.89;3.17;10.74;9.47;35.7;10.68;10.57;10.83;47.5;43.73;45.34;44.82;55.08;9.73;31.44
GFB;72.16;9.72;34.06;15.85;22.26;1.89;0;2.02;11.29;10.88;36.8;10.55;10.99;10.21;48.07;43.97;45.82;45.01;55.66;10.93;32.42
GFC;70.21;11.05;32.06;16.93;22.48;3.17;2.02;0;9.82;10.35;35.66;12.5;13.02;11.98;46.45;42.16;44.15;43.17;54.04;10.12;31.18
KVB;62.02;14.53;27.65;26.69;31.1;10.74;11.29;9.82;0;5.78;26.04;21.41;20.98;21.46;36.8;33.08;34.61;34.22;44.39;4.23;21.46
NLN;66.39;9.89;33.4;26.65;32.83;9.47;10.88;10.35;5.78;0;26.46;19.18;17.97;19.97;39.44;36.84;37.56;38.1;46.93;1.57;22.41
OSO;49.3;35.09;36.54;52.58;56.92;35.7;36.8;35.66;26.04;26.46;0;45.61;44.14;46.41;17.37;20.84;17.25;22.41;23.51;25.98;4.88
STA;82.7;11.65;43.9;11.05;21.06;10.68;10.55;12.5;21.41;19.18;45.61;0;3.12;2.8;58.12;54.4;56.0;55.47;65.68;19.87;41.59
STB;82.81;9.39;44.98;14.17;24.16;10.57;10.99;13.02;20.98;17.97;44.14;3.12;0;5.88;57.32;54.06;55.32;55.2;64.84;18.87;40.31
STC;81.99;13.52;42.43;8.45;18.28;10.83;10.21;11.98;21.46;19.97;46.41;2.8;5.88;0;58.26;54.14;56.03;55.15;65.84;20.46;42.23
TEN;32.18;49.11;33.31;62.84;64.65;47.5;48.07;46.45;36.8;39.44;17.37;58.12;57.32;58.26;0;9.05;3.06;9.89;7.59;38.45;18.54
TEQ;30.11;46.73;24.58;57.73;58.34;43.73;43.97;42.16;33.08;36.84;20.84;54.4;54.06;54.14;9.05;0;6.18;1.58;14.68;35.6;19.78
TRB;32.08;47.33;30.26;60.38;61.92;45.34;45.82;44.15;34.61;37.56;17.25;56.0;55.32;56.03;3.06;6.18;0;7.22;10.13;36.5;17.6
TRC;28.67;47.98;24.35;58.57;58.93;44.82;45.01;43.17;34.22;38.1;22.41;55.47;55.2;55.15;9.89;1.58;7.22;0;14.83;36.83;21.35
TRO;28.48;56.53;39.18;70.41;72.06;55.08;55.66;54.04;44.39;46.93;23.51;65.68;64.84;65.84;7.59;14.68;10.13;14.83;0;45.97;25.51
VAL;65.04;11.19;31.83;26.78;32.5;9.73;10.93;10.12;4.23;1.57;25.98;19.87;18.87;20.46;38.45;35.6;36.5;36.83;45.97;0;21.77
VFB;49.41;31.51;32.44;48.11;52.16;31.44;32.42;31.18;21.46;22.41;4.88;41.59;40.31;42.23;18.54;19.78;17.6;21.35;25.51;21.77;0
