MON,GFAGFBGFC,MON
MON,APT,ASL,MON
MON,APT,DAB,MON
MON,APT,DSA,MON
MON,APT,DSS,MON
MON,APT,NLNVAL,MON
MON,APT,STASTB,MON
MON,APT,STC,MON
MON,ASL,DAB,MON
MON,ASL,DSA,MON
MON,ASL,DSS,MON
MON,ASL,OSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,OSS,MON
MON,ASL,STC,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,MID,MON
MON,DAB,STC,MON
MON,DSA,DSS,MON
MON,DSA,MID,MON
MON,DSA,NLNVAL,MON
MON,DSA,OSC,MON
MON,DSA,OSE,MON
MON,DSA,OSOVFB,MON
MON,DSA,OSS,MON
MON,DSA,STC,MON
MON,DSA,TENTRB,MON
MON,DSA,TEQTRC,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSC,MON
MON,DSS,OSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,OSS,MON
MON,DSS,STC,MON
MON,DSS,TENTRB,MON
MON,DSS,TEQTRC,MON
MON,KVB,STASTB,MON
MON,MID,STASTB,MON
MON,MID,STC,MON
MON,NLNVAL,OSE,MON
MON,NLNVAL,STC,MON
MON,OSC,STASTB,MON
MON,OSC,STC,MON
MON,OSE,STC,MON
MON,OSOVFB,STC,MON
MON,OSS,STASTB,MON
MON,OSS,STC,MON
MON,STASTB,TENTRB,MON
MON,STASTB,TRO,MON
MON,STC,TENTRB,MON
MON,STC,TEQTRC,MON
MON,TENTRB,TEQTRC,MON
MON,APT,ASL,KVB,MON
MON,APT,ASL,MID,MON
MON,APT,ASL,OSC,MON
MON,APT,ASL,OSS,MON
MON,APT,ASL,TENTRB,MON
MON,APT,ASL,TEQTRC,MON
MON,APT,ASL,TRO,MON
MON,APT,DAB,TRO,MON
MON,APT,DSA,KVB,MON
MON,APT,DSA,MID,MON
MON,APT,DSA,OSC,MON
MON,APT,DSA,OSS,MON
MON,APT,DSA,TENTRB,MON
MON,APT,DSA,TRO,MON
MON,APT,DSS,KVB,MON
MON,APT,DSS,MID,MON
MON,APT,DSS,OSC,MON
MON,APT,DSS,OSS,MON
MON,APT,DSS,TENTRB,MON
MON,APT,DSS,TRO,MON
MON,APT,KVB,MID,MON
MON,APT,KVB,NLNVAL,MON
MON,APT,KVB,OSC,MON
MON,APT,KVB,OSE,MON
MON,APT,KVB,OSOVFB,MON
MON,APT,KVB,OSS,MON
MON,APT,KVB,STC,MON
MON,APT,KVB,TENTRB,MON
MON,APT,KVB,TEQTRC,MON
MON,APT,KVB,TRO,MON
MON,APT,MID,NLNVAL,MON
MON,APT,MID,OSE,MON
MON,APT,MID,OSOVFB,MON
MON,APT,MID,OSS,MON
MON,APT,MID,STC,MON
MON,APT,MID,TENTRB,MON
MON,APT,MID,TEQTRC,MON
MON,APT,NLNVAL,OSC,MON
MON,APT,NLNVAL,OSS,MON
MON,APT,NLNVAL,TENTRB,MON
MON,APT,NLNVAL,TRO,MON
MON,APT,OSC,OSOVFB,MON
MON,APT,OSC,STC,MON
MON,APT,OSOVFB,OSS,MON
MON,APT,OSOVFB,TENTRB,MON
MON,APT,OSS,STC,MON
MON,APT,STC,TENTRB,MON
MON,APT,STC,TRO,MON
MON,ASL,DSA,KVB,MON
MON,ASL,DSA,MID,MON
MON,ASL,DSA,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,MID,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSC,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,OSS,MON
MON,ASL,KVB,STC,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSC,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,OSS,MON
MON,ASL,MID,STC,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSC,OSS,MON
MON,ASL,OSC,TENTRB,MON
MON,ASL,OSC,TEQTRC,MON
MON,ASL,OSC,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,OSS,TENTRB,MON
MON,ASL,OSS,TEQTRC,MON
MON,ASL,OSS,TRO,MON
MON,ASL,STC,TRO,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,MID,TRO,MON
MON,DAB,OSS,TRO,MON
MON,DSA,DSS,TRO,MON
MON,DSA,KVB,MID,MON
MON,DSA,KVB,OSC,MON
MON,DSA,KVB,OSS,MON
MON,DSA,KVB,TENTRB,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,KVB,TRO,MON
MON,DSA,MID,OSC,MON
MON,DSA,MID,OSS,MON
MON,DSA,MID,TENTRB,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,MID,TRO,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,OSC,OSS,MON
MON,DSA,OSC,TENTRB,MON
MON,DSA,OSC,TRO,MON
MON,DSA,OSOVFB,TRO,MON
MON,DSA,OSS,TENTRB,MON
MON,DSA,OSS,TRO,MON
MON,DSA,STC,TRO,MON
MON,DSA,TENTRB,TRO,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,OSC,MON
MON,DSS,KVB,OSS,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,TRO,MON
MON,DSS,MID,OSC,MON
MON,DSS,MID,OSS,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,TRO,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSC,OSS,MON
MON,DSS,OSC,TENTRB,MON
MON,DSS,OSC,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,OSS,TENTRB,MON
MON,DSS,OSS,TRO,MON
MON,DSS,STC,TRO,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSC,MON
MON,KVB,MID,OSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,OSS,MON
MON,KVB,MID,STC,MON
MON,KVB,MID,TENTRB,MON
MON,KVB,MID,TEQTRC,MON
MON,KVB,NLNVAL,OSS,MON
MON,KVB,OSC,OSE,MON
MON,KVB,OSC,OSOVFB,MON
MON,KVB,OSC,STC,MON
MON,KVB,OSE,OSS,MON
MON,KVB,OSOVFB,OSS,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,KVB,OSS,STC,MON
MON,KVB,OSS,TENTRB,MON
MON,KVB,OSS,TEQTRC,MON
MON,KVB,STC,TENTRB,MON
MON,KVB,STC,TEQTRC,MON
MON,KVB,STC,TRO,MON
MON,MID,NLNVAL,OSC,MON
MON,MID,NLNVAL,OSS,MON
MON,MID,NLNVAL,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,MID,NLNVAL,TRO,MON
MON,MID,OSC,OSE,MON
MON,MID,OSC,OSOVFB,MON
MON,MID,OSC,OSS,MON
MON,MID,OSC,STC,MON
MON,MID,OSC,TEQTRC,MON
MON,MID,OSE,OSS,MON
MON,MID,OSE,TRO,MON
MON,MID,OSOVFB,OSS,MON
MON,MID,OSOVFB,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,MID,OSOVFB,TRO,MON
MON,MID,OSS,STC,MON
MON,MID,OSS,TENTRB,MON
MON,MID,OSS,TEQTRC,MON
MON,MID,STC,TENTRB,MON
MON,MID,STC,TEQTRC,MON
MON,MID,STC,TRO,MON
MON,MID,TENTRB,TEQTRC,MON
MON,MID,TEQTRC,TRO,MON
MON,NLNVAL,OSC,OSS,MON
MON,NLNVAL,OSC,TENTRB,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,OSS,TENTRB,MON
MON,NLNVAL,OSS,TRO,MON
MON,NLNVAL,STC,TRO,MON
MON,NLNVAL,TEQTRC,TRO,MON
MON,OSC,OSOVFB,OSS,MON
MON,OSC,OSS,STC,MON
MON,OSC,STC,TENTRB,MON
MON,OSC,STC,TRO,MON
MON,OSOVFB,OSS,TENTRB,MON
MON,OSOVFB,STC,TRO,MON
MON,OSS,STC,TENTRB,MON
MON,OSS,STC,TRO,MON
MON,STC,TENTRB,TRO,MON
MON,STC,TEQTRC,TRO,MON
MON,APT,ASL,KVB,TRO,MON
MON,APT,ASL,MID,TRO,MON
MON,APT,KVB,MID,OSC,MON
MON,APT,KVB,MID,OSS,MON
MON,APT,KVB,MID,TENTRB,MON
MON,APT,KVB,MID,TRO,MON
MON,APT,KVB,OSC,OSS,MON
MON,APT,KVB,OSC,TRO,MON
MON,APT,KVB,OSS,TRO,MON
MON,APT,KVB,TENTRB,TRO,MON
MON,APT,KVB,TEQTRC,TRO,MON
MON,APT,MID,OSC,OSS,MON
MON,APT,MID,OSC,TRO,MON
MON,APT,MID,OSS,TRO,MON
MON,APT,MID,TENTRB,TRO,MON
MON,APT,MID,TEQTRC,TRO,MON
MON,APT,OSC,OSS,TRO,MON
MON,APT,OSC,TENTRB,TRO,MON
MON,APT,OSS,TENTRB,TRO,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,OSC,TRO,MON
MON,ASL,KVB,OSS,TRO,MON
MON,ASL,MID,OSC,TRO,MON
MON,ASL,MID,OSS,TRO,MON
MON,DSA,KVB,MID,TRO,MON
MON,DSS,KVB,MID,TRO,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSC,OSS,MON
MON,KVB,MID,OSC,TENTRB,MON
MON,KVB,MID,OSC,TRO,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,OSS,TENTRB,MON
MON,KVB,MID,OSS,TRO,MON
MON,KVB,MID,STC,TRO,MON
MON,KVB,MID,TENTRB,TRO,MON
MON,KVB,MID,TEQTRC,TRO,MON
MON,KVB,OSC,OSS,TRO,MON
MON,KVB,OSC,TENTRB,TRO,MON
MON,KVB,OSC,TEQTRC,TRO,MON
MON,KVB,OSS,TENTRB,TRO,MON
MON,KVB,OSS,TEQTRC,TRO,MON
MON,MID,OSC,OSS,TRO,MON
MON,MID,OSC,TENTRB,TRO,MON
MON,MID,OSC,TEQTRC,TRO,MON
MON,MID,OSS,TENTRB,TRO,MON
MON,MID,OSS,TEQTRC,TRO,MON
