from/to;MON;APT;ASL;DAB;DSA;DSS;GF;KVB;MID;NLNVAL;OSC;OSE;OSO;OSS;ST;TENTRB;TEQTRC;TRO;VFB
MON;0,0;67,1;79,9;46,0;87,5;85,3;78,1;65,7;82,1;71,0;58,6;59,6;53,0;63,5;95,5;39,9;35,2;31,9;53,2
APT;67,1;0,0;53,3;62,4;74,3;80,2;60,7;49,5;26,7;48,6;20,6;13,5;26,4;6,8;68,1;37,7;44,5;35,7;31,0
ASL;79,9;53,3;0,0;41,4;22,1;30,3;12,6;14,5;34,0;11,6;35,7;42,3;35,0;47,3;15,0;50,1;48,6;56,4;31,4
DAB;46,0;62,4;41,4;0,0;42,5;39,3;36,7;27,5;60,6;33,6;43,0;49,2;36,3;55,8;47,2;33,7;25,7;39,0;32,2
DSA;87,5;74,3;22,1;42,5;0,0;10,1;19,7;26,8;56,1;27,7;55,2;62,4;52,7;68,0;14,7;63,5;59,4;70,5;48,2
DSS;85,3;80,2;30,3;39,3;10,1;0,0;26,0;30,9;64,2;33,7;60,3;67,6;56,7;73,6;24,7;65,2;59,9;71,9;52,0
GF;78,1;60,7;12,6;36,7;19,7;26,0;0,0;13,6;44,9;14,2;41,6;48,7;39,1;54,5;17,6;51,2;48,1;58,0;34,7
KVB;65,7;49,5;14,5;27,5;26,8;30,9;13,6;0,0;37,6;6,0;29,4;36,7;26,0;42,9;24,7;37,6;34,9;4,2;21,5
MID;82,1;26,7;34,0;60,6;56,1;64,2;44,9;37,6;0,0;34,6;23,5;24,1;29,5;24,0;48,6;48,2;52,2;34,1;31,0
NLNVAL;71,0;48,6;11,6;33,6;27,7;33,7;14,2;6,0;34,6;0;29,4;36,6;27,2;42,4;23,8;40,9;39,1;47,5;23,1
OSC;58,6;20,6;35,7;43,0;55,2;60,3;41,6;29,4;23,5;29,4;0,0;7,4;7,0;13,8;50,3;24,9;29,5;28,3;10,8
OSE;59,6;13,5;42,3;49,2;62,4;67,6;48,7;36,7;24,1;36,6;7,4;0,0;12,9;6,7;57,2;27,1;33,1;35,6;17,5
OSO;53,0;26,4;35,0;36,3;52,7;56,7;39,1;26,0;29,5;27,2;7,0;12,9;0,0;19,7;48,9;19,2;22,8;26,0;4,9
OSS;63,5;6,8;47,3;55,8;68,0;73,6;54,5;42,9;24,0;42,4;13,8;6,7;19,7;0,0;62,3;32,5;38,9;41,4;24,2
ST;95,5;68,1;15,0;47,2;14,7;24,7;17,6;24,7;48,6;23,8;50,3;57,2;48,9;62,3;0;62,2;59,4;69,0;44,9
TENTRB;39,9;37,7;50,1;33,7;63,5;65,2;51,2;37,6;48,2;40,9;24,9;27,1;19,2;32,5;62,2;0;11,2;10,8;19,9
TEQTRC;35,2;44,5;48,6;25,7;59,4;59,9;48,1;34,9;52,2;39,1;29,5;33,1;22,8;38,9;59,4;11,2;0;16,0;21,8
TRO;31,9;35,7;56,4;39,0;70,5;71,9;58,0;44,4;50,9;47,5;27,7;27,8;23,5;31,6;69,0;10,8;16,0;0;25,5
VFB;53,2;31,0;31,4;32,2;48,2;52,0;34,7;21,5;31,0;23,1;10,8;17,5;4,9;24,2;44,9;19,9;21,8;25,5;0
