from/to;MON;APTOSS;ASLGFAGFBGFC;DAB;DSASTASTBSTC;DSS;KVBNLNVAL;MID;OSCOSE;OSOVFB;TENTEQTRBTRCTRO
MON;0;67.41;78.28;42.91;91.74;82.17;69.1;78.3;60.519999999999996;53.56999999999999;42.81
APTOSS;67.41;0;64.53999999999999;64.78;78.44;82.52000000000001;55.1;30.5;24.18;34.989999999999995;54.349999999999994
ASLGFAGFBGFC;78.28;64.53999999999999;0;41.2;26.19;30.29;19.919999999999998;45.52;51.98;43.36;65.97
DAB;42.91;64.78;41.2;0;52.17;39.4;35.6;60.77;51.42;38.739999999999995;43.32
DSASTASTBSTC;91.74;78.44;26.19;52.17;0;27.46;34.78;56.790000000000006;66.36;58.19;80.49
DSS;82.17;82.52000000000001;30.29;39.4;27.46;0;36.7;64.35;69.28;58.81;76.15
KVBNLNVAL;69.1;55.1;19.919999999999998;35.6;34.78;36.7;0;39.52;42.03;32.78;55.72
MID;78.3;30.5;45.52;60.77;56.790000000000006;64.35;39.52;0;28.53;34.31;61.82000000000001
OSCOSE;60.519999999999996;24.18;51.98;51.42;66.36;69.28;42.03;28.53;0;21.279999999999998;44.68000000000001
OSOVFB;53.56999999999999;34.989999999999995;43.36;38.739999999999995;58.19;58.81;32.78;34.31;21.279999999999998;0;36.89
TENTEQTRBTRCTRO;42.81;54.349999999999994;65.97;43.32;80.49;76.15;55.72;61.82000000000001;44.68000000000001;36.89;0
