from/to;MON;APTOSS;ASL;DAB;DSASTASTBSTC;DSS;GFAGFBGFC;KVBNLNVAL;MID;OSCOSE;OSOVFB;TENTEQTRBTRCTRO
MON;0;67.41;76.23;42.91;91.74;82.17;75.03;69.1;78.3;60.519999999999996;53.56999999999999;42.81
APTOSS;67.41;0;55.839999999999996;64.78;78.44;82.52000000000001;63.55;55.1;30.5;24.18;34.989999999999995;54.349999999999994
ASL;76.23;55.839999999999996;0;41.44;22.86;30.33;13.06;16.419999999999998;34.23;44.269999999999996;37.53;62.36
DAB;42.91;64.78;41.44;0;52.17;39.4;37.17;35.6;60.77;51.42;38.739999999999995;43.32
DSASTASTBSTC;91.74;78.44;22.86;52.17;0;27.46;24.15;34.78;56.790000000000006;66.36;58.19;80.49
DSS;82.17;82.52000000000001;30.33;39.4;27.46;0;26.4;36.7;64.35;69.28;58.81;76.15
GFAGFBGFC;75.03;63.55;13.06;37.17;24.15;26.4;0;18.14;45.33;50.75;41.59;63.34
KVBNLNVAL;69.1;55.1;16.419999999999998;35.6;34.78;36.7;18.14;0;39.52;42.03;32.78;55.72
MID;78.3;30.5;34.23;60.77;56.790000000000006;64.35;45.33;39.52;0;28.53;34.31;61.82000000000001
OSCOSE;60.519999999999996;24.18;44.269999999999996;51.42;66.36;69.28;50.75;42.03;28.53;0;21.279999999999998;44.68000000000001
OSOVFB;53.56999999999999;34.989999999999995;37.53;38.739999999999995;58.19;58.81;41.59;32.78;34.31;21.279999999999998;0;36.89
TENTEQTRBTRCTRO;42.81;54.349999999999994;62.36;43.32;80.49;76.15;63.34;55.72;61.82000000000001;44.68000000000001;36.89;0
