MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSASTASTBSTC,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVBNLNVAL,MON
MON,MID,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRC,MON
MON,TRO,MON
MON,ASL,APTOSS,MON
MON,APTOSS,DAB,MON
MON,DSS,APTOSS,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,MID,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,KVBNLNVAL,MON
MON,ASL,MID,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTEQTRBTRC,MON
MON,ASL,TRO,MON
MON,DSS,DAB,MON
MON,DAB,KVBNLNVAL,MON
MON,MID,DAB,MON
MON,DAB,OSCOSE,MON
MON,DAB,OSOVFB,MON
MON,DAB,TENTEQTRBTRC,MON
MON,TRO,DAB,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,KVBNLNVAL,MON
MON,DSS,MID,MON
MON,DSS,OSCOSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTEQTRBTRC,MON
MON,DSS,TRO,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TRO,MON
MON,MID,KVBNLNVAL,MON
MON,KVBNLNVAL,OSCOSE,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,KVBNLNVAL,TENTEQTRBTRC,MON
MON,KVBNLNVAL,TRO,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTEQTRBTRC,MON
MON,MID,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TENTEQTRBTRC,MON
MON,TRO,OSCOSE,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,TRO,OSOVFB,MON
MON,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSS,MON
MON,APTOSS,ASL,KVBNLNVAL,MON
MON,APTOSS,MID,ASL,MON
MON,ASL,OSCOSE,APTOSS,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,ASL,APTOSS,TRO,MON
MON,APTOSS,DSS,DAB,MON
MON,APTOSS,MID,DAB,MON
MON,APTOSS,OSOVFB,DAB,MON
MON,DAB,APTOSS,TRO,MON
MON,APTOSS,KVBNLNVAL,DSS,MON
MON,DSS,MID,APTOSS,MON
MON,APTOSS,OSOVFB,DSS,MON
MON,DSS,APTOSS,TRO,MON
MON,APTOSS,MID,KVBNLNVAL,MON
MON,APTOSS,OSOVFB,KVBNLNVAL,MON
MON,KVBNLNVAL,APTOSS,TRO,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRC,MON
MON,MID,APTOSS,TRO,MON
MON,OSCOSE,APTOSS,TRO,MON
MON,OSOVFB,APTOSS,TRO,MON
MON,TENTEQTRBTRC,APTOSS,TRO,MON
MON,ASL,DSS,DAB,MON
MON,DAB,ASL,MID,MON
MON,DAB,ASL,OSOVFB,MON
MON,DAB,ASL,TRO,MON
MON,DSS,ASL,KVBNLNVAL,MON
MON,DSS,ASL,MID,MON
MON,DSS,ASL,OSCOSE,MON
MON,DSS,ASL,OSOVFB,MON
MON,DSS,ASL,TRO,MON
MON,MID,ASL,KVBNLNVAL,MON
MON,KVBNLNVAL,ASL,OSOVFB,MON
MON,KVBNLNVAL,ASL,TRO,MON
MON,OSCOSE,MID,ASL,MON
MON,OSOVFB,MID,ASL,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,OSCOSE,OSOVFB,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TRO,MON
MON,TENTEQTRBTRC,ASL,TRO,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,OSOVFB,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVBNLNVAL,MID,MON
MON,DAB,KVBNLNVAL,TRO,MON
MON,DAB,MID,OSCOSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TRO,MON
MON,DAB,OSCOSE,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DSS,KVBNLNVAL,MID,MON
MON,DSS,KVBNLNVAL,OSOVFB,MON
MON,DSS,KVBNLNVAL,TRO,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTEQTRBTRC,MON
MON,DSS,MID,TRO,MON
MON,DSS,OSCOSE,TRO,MON
