MON,APT,MON
MON,ASL,MON
MON,KVB,MON
MON,MID,MON
MON,NLN,MON
MON,OSC,MON
MON,OSE,MON
MON,OSO,MON
MON,OSS,MON
MON,TEN,MON
MON,TRB,MON
MON,TRO,MON
MON,VAL,MON
MON,VFB,MON
MON,APT,ASL,MON
MON,APT,KVB,MON
MON,APT,MID,MON
MON,APT,NLN,MON
MON,APT,OSC,MON
MON,APT,OSE,MON
MON,APT,OSO,MON
MON,APT,OSS,MON
MON,APT,TEN,MON
MON,APT,TRB,MON
MON,APT,TRO,MON
MON,VAL,APT,MON
MON,APT,VFB,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLN,MON
MON,ASL,OSC,MON
MON,ASL,OSE,MON
MON,ASL,OSO,MON
MON,ASL,OSS,MON
MON,TEN,ASL,MON
MON,ASL,TRB,MON
MON,ASL,TRO,MON
MON,ASL,VAL,MON
MON,ASL,VFB,MON
MON,KVB,MID,MON
MON,KVB,NLN,MON
MON,KVB,OSC,MON
MON,OSE,KVB,MON
MON,KVB,OSO,MON
MON,KVB,OSS,MON
MON,KVB,TEN,MON
MON,KVB,TRB,MON
MON,KVB,TRO,MON
MON,KVB,VAL,MON
MON,KVB,VFB,MON
MON,MID,NLN,MON
MON,MID,OSC,MON
MON,MID,OSE,MON
MON,MID,OSO,MON
MON,MID,OSS,MON
MON,MID,TEN,MON
MON,MID,TRB,MON
MON,MID,TRO,MON
MON,MID,VAL,MON
MON,MID,VFB,MON
MON,NLN,OSC,MON
MON,NLN,OSE,MON
MON,NLN,OSO,MON
MON,NLN,OSS,MON
MON,NLN,TEN,MON
MON,NLN,TRB,MON
MON,NLN,TRO,MON
MON,NLN,VAL,MON
MON,NLN,VFB,MON
MON,OSC,OSE,MON
MON,OSC,OSO,MON
MON,OSC,OSS,MON
MON,OSC,TEN,MON
MON,OSC,TRB,MON
MON,OSC,TRO,MON
MON,OSC,VAL,MON
MON,OSC,VFB,MON
MON,OSE,OSO,MON
MON,OSE,OSS,MON
MON,OSE,TEN,MON
MON,OSE,TRB,MON
MON,TRO,OSE,MON
MON,OSE,VAL,MON
MON,OSE,VFB,MON
MON,OSO,OSS,MON
MON,OSO,TEN,MON
MON,OSO,TRB,MON
MON,TRO,OSO,MON
MON,OSO,VAL,MON
MON,OSO,VFB,MON
MON,TEN,OSS,MON
MON,OSS,TRB,MON
MON,OSS,TRO,MON
MON,OSS,VAL,MON
MON,OSS,VFB,MON
MON,TEN,TRB,MON
MON,TEN,TRO,MON
MON,TEN,VAL,MON
MON,TEN,VFB,MON
MON,TRB,TRO,MON
MON,TRB,VAL,MON
MON,VFB,TRB,MON
MON,TRO,VAL,MON
MON,TRO,VFB,MON
MON,VAL,VFB,MON
MON,APT,ASL,KVB,MON
MON,APT,MID,ASL,MON
MON,APT,ASL,NLN,MON
MON,APT,OSC,ASL,MON
MON,APT,OSE,ASL,MON
MON,APT,OSO,ASL,MON
MON,APT,OSS,ASL,MON
MON,ASL,APT,TEN,MON
MON,APT,ASL,TRB,MON
MON,ASL,APT,TRO,MON
MON,APT,ASL,VAL,MON
MON,APT,ASL,VFB,MON
MON,APT,MID,KVB,MON
MON,APT,NLN,KVB,MON
MON,APT,OSC,KVB,MON
MON,APT,OSE,KVB,MON
MON,APT,OSO,KVB,MON
MON,APT,OSS,KVB,MON
MON,KVB,APT,TEN,MON
MON,APT,KVB,TRB,MON
MON,KVB,APT,TRO,MON
MON,APT,VAL,KVB,MON
MON,APT,VFB,KVB,MON
MON,APT,MID,NLN,MON
MON,APT,MID,OSC,MON
MON,OSE,MID,APT,MON
MON,APT,MID,OSO,MON
MON,MID,APT,OSS,MON
