MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSASTASTBSTC,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRC,MON
MON,TRO,MON
MON,ASL,APTOSS,MON
MON,APTOSS,DAB,MON
MON,DSS,APTOSS,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,KVB,MON
MON,APTOSS,MID,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTEQTRBTRC,MON
MON,ASL,TRO,MON
MON,DSS,DAB,MON
MON,KVB,DAB,MON
MON,MID,DAB,MON
MON,DAB,NLNVAL,MON
MON,DAB,OSCOSE,MON
MON,DAB,OSOVFB,MON
MON,DAB,TENTEQTRBTRC,MON
MON,TRO,DAB,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,KVB,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTEQTRBTRC,MON
MON,DSS,TRO,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,MID,MON
MON,KVB,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,KVB,OSOVFB,MON
MON,KVB,TENTEQTRBTRC,MON
MON,KVB,TRO,MON
MON,MID,NLNVAL,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTEQTRBTRC,MON
MON,MID,TRO,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,OSOVFB,MON
MON,NLNVAL,TENTEQTRBTRC,MON
MON,NLNVAL,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TENTEQTRBTRC,MON
MON,TRO,OSCOSE,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,TRO,OSOVFB,MON
MON,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,DAB,MON
MON,APTOSS,ASL,DSS,MON
MON,KVB,ASL,APTOSS,MON
MON,APTOSS,MID,ASL,MON
MON,APTOSS,ASL,NLNVAL,MON
MON,ASL,OSCOSE,APTOSS,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,ASL,APTOSS,TRO,MON
MON,APTOSS,DSS,DAB,MON
MON,APTOSS,KVB,DAB,MON
MON,APTOSS,MID,DAB,MON
MON,APTOSS,NLNVAL,DAB,MON
MON,APTOSS,OSOVFB,DAB,MON
MON,DAB,APTOSS,TRO,MON
MON,DSS,KVB,APTOSS,MON
MON,DSS,MID,APTOSS,MON
MON,APTOSS,NLNVAL,DSS,MON
MON,APTOSS,OSOVFB,DSS,MON
MON,DSS,APTOSS,TRO,MON
MON,APTOSS,MID,KVB,MON
MON,APTOSS,NLNVAL,KVB,MON
MON,KVB,OSCOSE,APTOSS,MON
MON,APTOSS,OSOVFB,KVB,MON
MON,APTOSS,KVB,TENTEQTRBTRC,MON
MON,KVB,APTOSS,TRO,MON
MON,NLNVAL,MID,APTOSS,MON
MON,APTOSS,MID,OSCOSE,MON
MON,APTOSS,MID,OSOVFB,MON
MON,APTOSS,MID,TENTEQTRBTRC,MON
MON,MID,APTOSS,TRO,MON
MON,APTOSS,OSOVFB,NLNVAL,MON
MON,NLNVAL,APTOSS,TRO,MON
MON,OSCOSE,APTOSS,TRO,MON
MON,OSOVFB,APTOSS,TRO,MON
MON,TENTEQTRBTRC,APTOSS,TRO,MON
MON,ASL,DSS,DAB,MON
MON,KVB,ASL,DAB,MON
MON,DAB,ASL,MID,MON
MON,DAB,ASL,NLNVAL,MON
MON,DAB,ASL,OSOVFB,MON
MON,DAB,ASL,TRO,MON
MON,DSS,ASL,KVB,MON
MON,DSS,ASL,MID,MON
MON,DSS,ASL,NLNVAL,MON
MON,DSS,ASL,OSCOSE,MON
MON,DSS,ASL,OSOVFB,MON
MON,DSS,ASL,TRO,MON
MON,KVB,ASL,MID,MON
MON,KVB,ASL,NLNVAL,MON
MON,KVB,ASL,OSCOSE,MON
MON,KVB,ASL,OSOVFB,MON
MON,KVB,ASL,TENTEQTRBTRC,MON
MON,KVB,ASL,TRO,MON
MON,MID,ASL,NLNVAL,MON
MON,OSCOSE,MID,ASL,MON
MON,OSOVFB,MID,ASL,MON
MON,ASL,MID,TENTEQTRBTRC,MON
MON,ASL,MID,TRO,MON
MON,NLNVAL,ASL,OSCOSE,MON
MON,NLNVAL,ASL,OSOVFB,MON
