from/to;MON;APTOSS;ASL;DAB;DSASTASTBSTC;DSS;GFAGFBGFC;KVB;MID;NLNVAL;OSCOSE;OSOVFB;TENTEQTRBTRC;TRO
MON;0;67.41;76.23;42.91;91.74;82.17;75.03;62.02;78.3;66.75999999999999;60.519999999999996;53.56999999999999;43.32;28.48
APTOSS;67.41;0;55.839999999999996;64.78;78.44;82.52000000000001;63.55;51.61;30.5;51.019999999999996;24.18;34.989999999999995;55.04;39.019999999999996
ASL;76.23;55.839999999999996;0;41.44;22.86;30.33;13.06;14.53;34.23;11.58;44.269999999999996;37.53;60.43;56.53
DAB;42.91;64.78;41.44;0;52.17;39.4;37.17;27.65;60.77;33.66;51.42;38.739999999999995;40.89;39.18
DSASTASTBSTC;91.74;78.44;22.86;52.17;0;27.46;24.15;31.15;56.790000000000006;30.86;66.36;58.19;78.30000000000001;75.53999999999999
DSS;82.17;82.52000000000001;30.33;39.4;27.46;0;26.4;31.1;64.35;33.709999999999994;69.28;58.81;73.69;72.06
GFAGFBGFC;75.03;63.55;13.06;37.17;24.15;26.4;0;14.04;45.33;14.680000000000001;50.75;41.59;61.15;58.41
KVB;62.02;51.61;14.53;27.65;31.15;31.1;14.04;0;37.56;6.05;38.199999999999996;28.009999999999998;47.27;44.39
MID;78.3;30.5;34.23;60.77;56.790000000000006;64.35;45.33;37.56;0;34.64;28.53;34.31;61.33;50.85
NLNVAL;66.75999999999999;51.019999999999996;11.58;33.66;30.86;33.709999999999994;14.680000000000001;6.05;34.64;0;38.169999999999995;29.43;51.059999999999995;47.5
OSCOSE;60.519999999999996;24.18;44.269999999999996;51.42;66.36;69.28;50.75;38.199999999999996;28.53;38.169999999999995;0;21.279999999999998;44.69;32.660000000000004
OSOVFB;53.56999999999999;34.989999999999995;37.53;38.739999999999995;58.19;58.81;41.59;28.009999999999998;34.31;29.43;21.279999999999998;0;35.96;28.68
TENTEQTRBTRC;43.32;55.04;60.43;40.89;78.30000000000001;73.69;61.15;47.27;61.33;51.059999999999995;44.69;35.96;0;24.28
TRO;28.48;39.019999999999996;56.53;39.18;75.53999999999999;72.06;58.41;44.39;50.85;47.5;32.660000000000004;28.68;24.28;0
