from/to;MON;ASL;NLN;VAL;KVB;TEN;TEQ;TRB;TRC;TRO;VFB;OSO;MID;OSC;OSE;OSS
MON;0;76.23;66.39;65.04;62.02;32.18;30.11;32.08;28.67;28.48;49.41;49.3;78.3;54.92;56.05;60.09
ASL;76.23;0;9.89;11.19;14.53;49.11;46.73;47.33;47.98;56.53;31.51;35.09;34.23;35.83;42.48;47.48
NLN;66.39;9.89;0;1.57;5.78;39.44;36.84;37.56;38.1;46.93;22.41;26.46;33.09;28.45;35.58;41.3
VAL;65.04;11.19;1.57;0;4.23;38.45;35.6;36.5;36.83;45.97;21.77;25.98;34.1;28.35;35.56;41.42
KVB;62.02;14.53;5.78;4.23;0;36.8;33.08;34.61;34.22;44.39;21.46;26.04;37.56;29.38;36.72;42.88
TEN;32.18;49.11;39.44;38.45;36.8;0;9.05;3.06;9.89;7.59;18.54;17.37;46.13;22.75;24.58;29.68
TEQ;30.11;46.73;36.84;35.6;33.08;9.05;0;6.18;1.58;14.68;19.78;20.84;50.16;27.46;31.12;36.97
TRB;32.08;47.33;37.56;36.5;34.61;3.06;6.18;0;7.22;10.13;17.6;17.25;46.49;23.24;25.92;31.41
TRC;28.67;47.98;38.1;36.83;34.22;9.89;1.58;7.22;0;14.83;21.35;22.41;51.74;29.01;32.57;38.34
TRO;28.48;56.53;46.93;45.97;44.39;7.59;14.68;10.13;14.83;0;25.51;23.51;50.85;27.74;27.76;31.61
VFB;49.41;31.51;22.41;21.77;21.46;18.54;19.78;17.6;21.35;25.51;0;4.88;30.88;10.8;17.53;24.23
OSO;49.3;35.09;26.46;25.98;26.04;17.37;20.84;17.25;22.41;23.51;4.88;0;29.39;6.98;12.95;19.65
MID;78.3;34.23;33.09;34.1;37.56;46.13;50.16;46.49;51.74;50.85;30.88;29.39;0;23.38;23.96;23.92
OSC;54.92;35.83;28.45;28.35;29.38;22.75;27.46;23.24;29.01;27.74;10.8;6.98;23.38;0;7.35;13.81
OSE;56.05;42.48;35.58;35.56;36.72;24.58;31.12;25.92;32.57;27.76;17.53;12.95;23.96;7.35;0;6.71
OSS;60.09;47.48;41.3;41.42;42.88;29.68;36.97;31.41;38.34;31.61;24.23;19.65;23.92;13.81;6.71;0
