DUS,DABGRA,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKR,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,SLB,DUS
DUS,TEB,DUS
DUS,DABGRA,DRA,DUS
DUS,DABGRA,DSA,DUS
DUS,DABGRA,GKR,DUS
DUS,DABGRA,GUD,DUS
DUS,DABGRA,JSF,DUS
DUS,DABGRA,HDA,DUS
DUS,DABGRA,SLA,DUS
DUS,DABGRA,SLB,DUS
DUS,DABGRA,TEB,DUS
DUS,DRA,DSA,DUS
DUS,DRA,GKR,DUS
DUS,DRA,GUD,DUS
DUS,DRA,JSF,DUS
DUS,DRA,HDA,DUS
DUS,DRA,SLA,DUS
DUS,DRA,SLB,DUS
DUS,DRA,TEB,DUS
DUS,DSA,GKR,DUS
DUS,GUD,DSA,DUS
DUS,DSA,JSF,DUS
DUS,DSA,HDA,DUS
DUS,DSA,SLA,DUS
DUS,SLB,DSA,DUS
DUS,DSA,TEB,DUS
DUS,GKR,GUD,DUS
DUS,GKR,JSF,DUS
DUS,GKR,HDA,DUS
DUS,GKR,SLA,DUS
DUS,GKR,SLB,DUS
DUS,GKR,TEB,DUS
DUS,GUD,JSF,DUS
DUS,GUD,HDA,DUS
DUS,GUD,SLA,DUS
DUS,GUD,SLB,DUS
DUS,GUD,TEB,DUS
DUS,JSF,HDA,DUS
DUS,SLA,JSF,DUS
DUS,JSF,SLB,DUS
DUS,JSF,TEB,DUS
DUS,SLA,HDA,DUS
DUS,HDA,SLB,DUS
DUS,HDA,TEB,DUS
DUS,SLA,SLB,DUS
DUS,SLA,TEB,DUS
DUS,SLB,TEB,DUS
DUS,DABGRA,DSA,DRA,DUS
DUS,DABGRA,GKR,DRA,DUS
DUS,DABGRA,GUD,DRA,DUS
DUS,DRA,DABGRA,HDA,DUS
DUS,DABGRA,SLA,DRA,DUS
DUS,DRA,SLB,DABGRA,DUS
DUS,DRA,TEB,DABGRA,DUS
DUS,DABGRA,SLA,DSA,DUS
DUS,DABGRA,SLB,DSA,DUS
DUS,DSA,TEB,DABGRA,DUS
DUS,GKR,GUD,DABGRA,DUS
DUS,GKR,DABGRA,HDA,DUS
DUS,DABGRA,GKR,SLA,DUS
DUS,DABGRA,GKR,SLB,DUS
DUS,DABGRA,GKR,TEB,DUS
DUS,DABGRA,GUD,HDA,DUS
DUS,DABGRA,GUD,SLA,DUS
DUS,DABGRA,GUD,SLB,DUS
DUS,TEB,GUD,DABGRA,DUS
DUS,DABGRA,JSF,SLA,DUS
DUS,HDA,DABGRA,SLA,DUS
DUS,HDA,DABGRA,SLB,DUS
DUS,HDA,DABGRA,TEB,DUS
DUS,DABGRA,SLB,SLA,DUS
DUS,SLA,TEB,DABGRA,DUS
DUS,DABGRA,TEB,SLB,DUS
DUS,DRA,GKR,DSA,DUS
DUS,DRA,GUD,DSA,DUS
DUS,DSA,JSF,DRA,DUS
DUS,DRA,DSA,HDA,DUS
DUS,DRA,SLA,DSA,DUS
DUS,DRA,SLB,DSA,DUS
DUS,DRA,TEB,DSA,DUS
DUS,DRA,GKR,GUD,DUS
DUS,DRA,GKR,JSF,DUS
DUS,DRA,GKR,HDA,DUS
DUS,DRA,SLA,GKR,DUS
DUS,DRA,SLB,GKR,DUS
DUS,DRA,TEB,GKR,DUS
DUS,DRA,GUD,JSF,DUS
DUS,DRA,GUD,HDA,DUS
DUS,DRA,SLA,GUD,DUS
DUS,DRA,SLB,GUD,DUS
DUS,DRA,TEB,GUD,DUS
DUS,DRA,JSF,HDA,DUS
DUS,DRA,SLA,JSF,DUS
DUS,DRA,SLB,JSF,DUS
DUS,DRA,TEB,JSF,DUS
DUS,DRA,SLA,HDA,DUS
DUS,DRA,SLB,HDA,DUS
DUS,DRA,TEB,HDA,DUS
DUS,SLB,SLA,DRA,DUS
DUS,DRA,TEB,SLA,DUS
DUS,DRA,TEB,SLB,DUS
DUS,DSA,GKR,GUD,DUS
DUS,DSA,GKR,JSF,DUS
DUS,HDA,GKR,DSA,DUS
DUS,DSA,GKR,SLA,DUS
DUS,DSA,GKR,SLB,DUS
DUS,DSA,GKR,TEB,DUS
DUS,DSA,GUD,JSF,DUS
DUS,DSA,GUD,HDA,DUS
DUS,DSA,GUD,SLA,DUS
DUS,DSA,GUD,SLB,DUS
DUS,DSA,GUD,TEB,DUS
DUS,DSA,JSF,HDA,DUS
DUS,DSA,JSF,SLA,DUS
DUS,DSA,JSF,SLB,DUS
DUS,DSA,JSF,TEB,DUS
DUS,DSA,SLA,HDA,DUS
DUS,DSA,SLB,HDA,DUS
DUS,DSA,TEB,HDA,DUS
DUS,SLA,SLB,DSA,DUS
DUS,DSA,TEB,SLA,DUS
DUS,DSA,SLB,TEB,DUS
DUS,GKR,GUD,JSF,DUS
DUS,GKR,GUD,HDA,DUS
DUS,SLA,GKR,GUD,DUS
DUS,SLB,GKR,GUD,DUS
DUS,GUD,GKR,TEB,DUS
DUS,JSF,GKR,HDA,DUS
DUS,SLA,GKR,JSF,DUS
DUS,SLB,GKR,JSF,DUS
DUS,JSF,GKR,TEB,DUS
DUS,SLA,GKR,HDA,DUS
DUS,SLB,GKR,HDA,DUS
DUS,HDA,GKR,TEB,DUS
DUS,GKR,SLB,SLA,DUS
DUS,GKR,TEB,SLA,DUS
DUS,GKR,TEB,SLB,DUS
DUS,JSF,GUD,HDA,DUS
DUS,JSF,GUD,SLA,DUS
DUS,SLB,GUD,JSF,DUS
DUS,JSF,GUD,TEB,DUS
DUS,HDA,GUD,SLA,DUS
DUS,HDA,GUD,SLB,DUS
DUS,HDA,GUD,TEB,DUS
DUS,GUD,SLB,SLA,DUS
DUS,GUD,TEB,SLA,DUS
DUS,GUD,TEB,SLB,DUS
DUS,HDA,JSF,SLA,DUS
DUS,JSF,SLB,HDA,DUS
DUS,JSF,TEB,HDA,DUS
DUS,JSF,SLB,SLA,DUS
DUS,JSF,TEB,SLA,DUS
DUS,JSF,TEB,SLB,DUS
DUS,HDA,SLB,SLA,DUS
DUS,HDA,TEB,SLA,DUS
DUS,HDA,TEB,SLB,DUS
DUS,SLA,TEB,SLB,DUS
DUS,DABGRA,GKR,SLA,DRA,DUS
DUS,DABGRA,GKR,SLB,DRA,DUS
DUS,DABGRA,GKR,TEB,DRA,DUS
DUS,DABGRA,GUD,SLA,DRA,DUS
DUS,DABGRA,GUD,SLB,DRA,DUS
DUS,DABGRA,GUD,TEB,DRA,DUS
DUS,DRA,SLA,DABGRA,HDA,DUS
DUS,DRA,SLB,DABGRA,HDA,DUS
DUS,DRA,TEB,DABGRA,HDA,DUS
DUS,DABGRA,SLB,SLA,DRA,DUS
DUS,DRA,SLA,TEB,DABGRA,DUS
DUS,DABGRA,SLB,TEB,DRA,DUS
DUS,DABGRA,SLB,SLA,DSA,DUS
DUS,SLA,GKR,GUD,DABGRA,DUS
DUS,SLB,GKR,GUD,DABGRA,DUS
DUS,HDA,DABGRA,GKR,SLA,DUS
DUS,HDA,DABGRA,GKR,SLB,DUS
DUS,DABGRA,GKR,SLB,SLA,DUS
DUS,DABGRA,GKR,TEB,SLA,DUS
DUS,DABGRA,GKR,TEB,SLB,DUS
DUS,HDA,DABGRA,GUD,SLA,DUS
DUS,HDA,DABGRA,GUD,SLB,DUS
DUS,DABGRA,GUD,SLB,SLA,DUS
DUS,DABGRA,GUD,TEB,SLA,DUS
DUS,DABGRA,GUD,TEB,SLB,DUS
DUS,HDA,DABGRA,SLB,SLA,DUS
DUS,HDA,DABGRA,TEB,SLA,DUS
DUS,HDA,DABGRA,TEB,SLB,DUS
DUS,SLA,TEB,SLB,DABGRA,DUS
DUS,DRA,GKR,GUD,DSA,DUS
DUS,DSA,DRA,GKR,HDA,DUS
DUS,DRA,SLA,GKR,DSA,DUS
DUS,DRA,SLB,GKR,DSA,DUS
DUS,DSA,GKR,TEB,DRA,DUS
DUS,HDA,GUD,DRA,DSA,DUS
DUS,DRA,SLA,GUD,DSA,DUS
DUS,DRA,SLB,GUD,DSA,DUS
DUS,DRA,TEB,GUD,DSA,DUS
DUS,DRA,SLA,JSF,DSA,DUS
DUS,DRA,SLB,JSF,DSA,DUS
DUS,DSA,JSF,TEB,DRA,DUS
DUS,DRA,SLA,DSA,HDA,DUS
DUS,DSA,DRA,SLB,HDA,DUS
DUS,DSA,DRA,TEB,HDA,DUS
DUS,DSA,SLB,SLA,DRA,DUS
DUS,DRA,SLA,TEB,DSA,DUS
DUS,DRA,TEB,SLB,DSA,DUS
DUS,DRA,GKR,GUD,JSF,DUS
DUS,DRA,GKR,GUD,HDA,DUS
DUS,DRA,SLA,GKR,GUD,DUS
DUS,DRA,SLB,GKR,GUD,DUS
DUS,DRA,TEB,GKR,GUD,DUS
DUS,DRA,GKR,JSF,HDA,DUS
DUS,DRA,SLA,GKR,JSF,DUS
DUS,DRA,SLB,GKR,JSF,DUS
DUS,DRA,TEB,GKR,JSF,DUS
DUS,DRA,SLA,GKR,HDA,DUS
DUS,DRA,SLB,GKR,HDA,DUS
DUS,DRA,TEB,GKR,HDA,DUS
DUS,DRA,SLA,SLB,GKR,DUS
DUS,DRA,SLA,TEB,GKR,DUS
DUS,DRA,TEB,SLB,GKR,DUS
DUS,DRA,JSF,GUD,HDA,DUS
DUS,DRA,SLA,GUD,JSF,DUS
DUS,DRA,SLB,GUD,JSF,DUS
DUS,DRA,TEB,GUD,JSF,DUS
DUS,DRA,SLA,GUD,HDA,DUS
DUS,DRA,SLB,GUD,HDA,DUS
DUS,DRA,TEB,GUD,HDA,DUS
DUS,DRA,SLA,SLB,GUD,DUS
DUS,DRA,SLA,TEB,GUD,DUS
DUS,DRA,TEB,SLB,GUD,DUS
DUS,DRA,SLA,JSF,HDA,DUS
DUS,DRA,SLB,JSF,HDA,DUS
DUS,HDA,JSF,TEB,DRA,DUS
DUS,DRA,SLA,SLB,JSF,DUS
DUS,DRA,SLA,TEB,JSF,DUS
DUS,DRA,TEB,SLB,JSF,DUS
DUS,DRA,SLA,SLB,HDA,DUS
DUS,DRA,SLA,TEB,HDA,DUS
DUS,DRA,TEB,SLB,HDA,DUS
DUS,DRA,SLA,TEB,SLB,DUS
DUS,DSA,GKR,GUD,HDA,DUS
DUS,SLA,GKR,GUD,DSA,DUS
DUS,SLB,GKR,GUD,DSA,DUS
DUS,DSA,GUD,GKR,TEB,DUS
