DUS,DABGRA,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKRSLB,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,TEB,DUS
DUS,DABGRA,DRA,DUS
DUS,DABGRA,DSA,DUS
DUS,DABGRA,GKRSLB,DUS
DUS,DABGRA,GUD,DUS
DUS,DABGRA,JSF,DUS
DUS,DABGRA,HDA,DUS
DUS,DABGRA,SLA,DUS
DUS,DABGRA,TEB,DUS
DUS,DRA,DSA,DUS
DUS,DRA,GKRSLB,DUS
DUS,DRA,GUD,DUS
DUS,DRA,JSF,DUS
DUS,DRA,HDA,DUS
DUS,DRA,SLA,DUS
DUS,DRA,TEB,DUS
DUS,DSA,GKRSLB,DUS
DUS,GUD,DSA,DUS
DUS,DSA,JSF,DUS
DUS,DSA,HDA,DUS
DUS,DSA,SLA,DUS
DUS,DSA,TEB,DUS
DUS,GKRSLB,GUD,DUS
DUS,JSF,GKRSLB,DUS
DUS,GKRSLB,HDA,DUS
DUS,SLA,GKRSLB,DUS
DUS,GKRSLB,TEB,DUS
DUS,GUD,JSF,DUS
DUS,GUD,HDA,DUS
DUS,GUD,SLA,DUS
DUS,GUD,TEB,DUS
DUS,JSF,HDA,DUS
DUS,SLA,JSF,DUS
DUS,JSF,TEB,DUS
DUS,SLA,HDA,DUS
DUS,HDA,TEB,DUS
DUS,SLA,TEB,DUS
DUS,DABGRA,DSA,DRA,DUS
DUS,DABGRA,GKRSLB,DRA,DUS
DUS,DABGRA,GUD,DRA,DUS
DUS,DRA,DABGRA,HDA,DUS
DUS,DABGRA,SLA,DRA,DUS
DUS,DRA,TEB,DABGRA,DUS
DUS,DABGRA,SLA,DSA,DUS
DUS,DSA,TEB,DABGRA,DUS
DUS,DABGRA,GUD,GKRSLB,DUS
DUS,GKRSLB,DABGRA,HDA,DUS
DUS,DABGRA,GKRSLB,SLA,DUS
DUS,DABGRA,GKRSLB,TEB,DUS
DUS,DABGRA,GUD,HDA,DUS
DUS,DABGRA,GUD,SLA,DUS
DUS,TEB,GUD,DABGRA,DUS
DUS,DABGRA,JSF,SLA,DUS
DUS,HDA,DABGRA,SLA,DUS
DUS,HDA,DABGRA,TEB,DUS
DUS,SLA,TEB,DABGRA,DUS
DUS,DRA,GKRSLB,DSA,DUS
DUS,DRA,GUD,DSA,DUS
DUS,DSA,JSF,DRA,DUS
DUS,DRA,DSA,HDA,DUS
DUS,DRA,SLA,DSA,DUS
DUS,DRA,TEB,DSA,DUS
DUS,GUD,GKRSLB,DRA,DUS
DUS,DRA,GKRSLB,JSF,DUS
DUS,DRA,GKRSLB,HDA,DUS
DUS,DRA,SLA,GKRSLB,DUS
DUS,DRA,TEB,GKRSLB,DUS
DUS,DRA,GUD,JSF,DUS
DUS,DRA,GUD,HDA,DUS
DUS,DRA,SLA,GUD,DUS
DUS,DRA,TEB,GUD,DUS
DUS,DRA,JSF,HDA,DUS
DUS,DRA,SLA,JSF,DUS
DUS,DRA,TEB,JSF,DUS
DUS,DRA,SLA,HDA,DUS
DUS,DRA,TEB,HDA,DUS
DUS,DRA,TEB,SLA,DUS
DUS,GUD,GKRSLB,DSA,DUS
DUS,DSA,GKRSLB,JSF,DUS
DUS,DSA,GKRSLB,HDA,DUS
DUS,DSA,GKRSLB,SLA,DUS
DUS,DSA,GKRSLB,TEB,DUS
DUS,DSA,GUD,JSF,DUS
DUS,DSA,GUD,HDA,DUS
DUS,DSA,GUD,SLA,DUS
DUS,DSA,GUD,TEB,DUS
DUS,DSA,JSF,HDA,DUS
DUS,DSA,JSF,SLA,DUS
DUS,DSA,JSF,TEB,DUS
DUS,DSA,SLA,HDA,DUS
DUS,DSA,TEB,HDA,DUS
DUS,DSA,TEB,SLA,DUS
DUS,GKRSLB,GUD,JSF,DUS
DUS,GKRSLB,GUD,HDA,DUS
DUS,GUD,GKRSLB,SLA,DUS
DUS,GUD,GKRSLB,TEB,DUS
DUS,JSF,GKRSLB,HDA,DUS
DUS,JSF,GKRSLB,SLA,DUS
DUS,JSF,GKRSLB,TEB,DUS
DUS,SLA,GKRSLB,HDA,DUS
DUS,HDA,GKRSLB,TEB,DUS
DUS,GKRSLB,TEB,SLA,DUS
DUS,JSF,GUD,HDA,DUS
DUS,JSF,GUD,SLA,DUS
DUS,JSF,GUD,TEB,DUS
DUS,HDA,GUD,SLA,DUS
DUS,HDA,GUD,TEB,DUS
DUS,GUD,TEB,SLA,DUS
DUS,HDA,JSF,SLA,DUS
DUS,JSF,TEB,HDA,DUS
DUS,JSF,TEB,SLA,DUS
DUS,HDA,TEB,SLA,DUS
DUS,DABGRA,GKRSLB,SLA,DRA,DUS
DUS,DABGRA,GUD,SLA,DRA,DUS
DUS,DABGRA,GUD,TEB,DRA,DUS
DUS,DRA,SLA,DABGRA,HDA,DUS
