DUS,DAB,DSA,DUS
DUS,DAB,JSF,DUS
DUS,DSA,JSF,DUS
DUS,DAB,DRA,DSA,DUS
DUS,DAB,DRA,GRA,DUS
DUS,DAB,DRA,SLB,DUS
DUS,DAB,DSA,GKR,DUS
DUS,DAB,DSA,GUD,DUS
DUS,DAB,DSA,GRA,DUS
DUS,DAB,DSA,HDA,DUS
DUS,DAB,DSA,SLA,DUS
DUS,DAB,DSA,SLB,DUS
DUS,DAB,GKR,GUD,DUS
DUS,DAB,GKR,JSF,DUS
DUS,DAB,GKR,GRA,DUS
DUS,DAB,GKR,SLA,DUS
DUS,DAB,GKR,SLB,DUS
DUS,DAB,GKR,TEB,DUS
DUS,DAB,GUD,JSF,DUS
DUS,DAB,GUD,GRA,DUS
DUS,DAB,GUD,HDA,DUS
DUS,DAB,GUD,SLA,DUS
DUS,DAB,GUD,SLB,DUS
DUS,DAB,GUD,TEB,DUS
DUS,DAB,JSF,GRA,DUS
DUS,DAB,JSF,HDA,DUS
DUS,DAB,JSF,SLA,DUS
DUS,DAB,JSF,SLB,DUS
DUS,DAB,GRA,HDA,DUS
DUS,DAB,GRA,SLB,DUS
DUS,DAB,GRA,TEB,DUS
DUS,DAB,HDA,SLA,DUS
DUS,DAB,HDA,SLB,DUS
DUS,DAB,SLB,TEB,DUS
DUS,DRA,DSA,GKR,DUS
DUS,DRA,DSA,GUD,DUS
DUS,DRA,DSA,JSF,DUS
DUS,DRA,DSA,HDA,DUS
DUS,DRA,GKR,JSF,DUS
DUS,DRA,GUD,JSF,DUS
DUS,DRA,JSF,GRA,DUS
DUS,DRA,JSF,HDA,DUS
DUS,DRA,JSF,SLB,DUS
DUS,DSA,GKR,GUD,DUS
DUS,DSA,GKR,JSF,DUS
DUS,DSA,GKR,GRA,DUS
DUS,DSA,GKR,HDA,DUS
DUS,DSA,GKR,TEB,DUS
DUS,DSA,GUD,JSF,DUS
DUS,DSA,GUD,GRA,DUS
DUS,DSA,GUD,HDA,DUS
DUS,DSA,GUD,TEB,DUS
DUS,DSA,JSF,GRA,DUS
DUS,DSA,JSF,HDA,DUS
DUS,DSA,JSF,SLA,DUS
DUS,DSA,JSF,SLB,DUS
DUS,DSA,JSF,TEB,DUS
DUS,DSA,GRA,HDA,DUS
DUS,GKR,GUD,JSF,DUS
DUS,GKR,JSF,GRA,DUS
DUS,GKR,JSF,SLA,DUS
DUS,GKR,JSF,SLB,DUS
DUS,GUD,JSF,GRA,DUS
DUS,GUD,JSF,HDA,DUS
DUS,GUD,JSF,SLA,DUS
DUS,GUD,JSF,SLB,DUS
DUS,JSF,GRA,HDA,DUS
DUS,JSF,GRA,SLB,DUS
DUS,JSF,GRA,TEB,DUS
DUS,JSF,SLB,TEB,DUS
DUS,DAB,DRA,DSA,TEB,DUS
DUS,DAB,DRA,GRA,SLB,DUS
DUS,DAB,DRA,GRA,TEB,DUS
DUS,DAB,DRA,HDA,SLA,DUS
DUS,DAB,DRA,HDA,SLB,DUS
DUS,DAB,DRA,HDA,TEB,DUS
DUS,DAB,DRA,SLA,SLB,DUS
DUS,DAB,DSA,HDA,SLA,DUS
DUS,DAB,DSA,HDA,SLB,DUS
DUS,DAB,DSA,SLA,SLB,DUS
DUS,DAB,GKR,GUD,GRA,DUS
DUS,DAB,GKR,HDA,SLA,DUS
DUS,DAB,GKR,HDA,SLB,DUS
DUS,DAB,GKR,HDA,TEB,DUS
DUS,DAB,GKR,SLA,SLB,DUS
DUS,DAB,GKR,SLA,TEB,DUS
DUS,DAB,GKR,SLB,TEB,DUS
DUS,DAB,GUD,HDA,TEB,DUS
DUS,DAB,GUD,SLA,SLB,DUS
DUS,DAB,GUD,SLA,TEB,DUS
DUS,DAB,GUD,SLB,TEB,DUS
DUS,DAB,JSF,SLA,SLB,DUS
DUS,DAB,GRA,SLA,SLB,DUS
DUS,DAB,GRA,SLA,TEB,DUS
DUS,DAB,GRA,SLB,TEB,DUS
DUS,DAB,SLA,SLB,TEB,DUS
DUS,DRA,DSA,GKR,SLA,DUS
DUS,DRA,DSA,GKR,SLB,DUS
DUS,DRA,DSA,GUD,GRA,DUS
DUS,DRA,DSA,JSF,GRA,DUS
DUS,DRA,DSA,GRA,HDA,DUS
DUS,DRA,DSA,HDA,TEB,DUS
DUS,DRA,DSA,SLA,TEB,DUS
DUS,DRA,DSA,SLB,TEB,DUS
DUS,DRA,GKR,GUD,JSF,DUS
DUS,DRA,GKR,GUD,GRA,DUS
DUS,DRA,GKR,GUD,HDA,DUS
DUS,DRA,GKR,GUD,TEB,DUS
DUS,DRA,GKR,JSF,GRA,DUS
DUS,DRA,GKR,GRA,HDA,DUS
DUS,DRA,GKR,HDA,TEB,DUS
DUS,DRA,GUD,GRA,HDA,DUS
DUS,DRA,GUD,HDA,TEB,DUS
DUS,DRA,JSF,HDA,SLB,DUS
DUS,DRA,JSF,HDA,TEB,DUS
DUS,DRA,JSF,SLA,SLB,DUS
DUS,DSA,GKR,GUD,GRA,DUS
DUS,DSA,GKR,GUD,HDA,DUS
DUS,DSA,GKR,GUD,SLA,DUS
DUS,DSA,GKR,GUD,SLB,DUS
DUS,DSA,GKR,GUD,TEB,DUS
DUS,DSA,GKR,GRA,HDA,DUS
DUS,DSA,GKR,HDA,TEB,DUS
DUS,DSA,GKR,SLA,TEB,DUS
DUS,DSA,GKR,SLB,TEB,DUS
DUS,DSA,GUD,GRA,HDA,DUS
DUS,DSA,GUD,SLA,TEB,DUS
