DUS,DAB,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKR,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,GRA,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,SLB,DUS
DUS,TEB,DUS
DUS,DAB,DRA,DUS
DUS,DAB,DSA,DUS
DUS,DAB,GKR,DUS
DUS,DAB,GUD,DUS
DUS,DAB,JSF,DUS
DUS,DAB,GRA,DUS
DUS,DAB,HDA,DUS
DUS,DAB,SLA,DUS
DUS,DAB,SLB,DUS
DUS,DAB,TEB,DUS
DUS,DRA,DSA,DUS
DUS,DRA,GKR,DUS
DUS,DRA,GUD,DUS
DUS,DRA,JSF,DUS
DUS,DRA,GRA,DUS
DUS,DRA,SLA,DUS
DUS,DRA,SLB,DUS
DUS,DRA,TEB,DUS
DUS,DSA,GKR,DUS
DUS,GUD,DSA,DUS
DUS,DSA,JSF,DUS
DUS,DSA,GRA,DUS
DUS,DSA,HDA,DUS
DUS,DSA,SLA,DUS
DUS,SLB,DSA,DUS
DUS,DSA,TEB,DUS
DUS,GKR,GUD,DUS
DUS,GKR,JSF,DUS
DUS,GKR,GRA,DUS
DUS,GKR,HDA,DUS
DUS,GKR,SLA,DUS
DUS,GKR,SLB,DUS
DUS,GKR,TEB,DUS
DUS,GUD,JSF,DUS
DUS,GUD,GRA,DUS
DUS,GUD,HDA,DUS
DUS,GUD,SLA,DUS
DUS,GUD,SLB,DUS
DUS,GUD,TEB,DUS
DUS,JSF,GRA,DUS
DUS,JSF,HDA,DUS
DUS,SLA,JSF,DUS
DUS,JSF,SLB,DUS
DUS,JSF,TEB,DUS
DUS,GRA,HDA,DUS
DUS,GRA,SLA,DUS
DUS,GRA,SLB,DUS
DUS,GRA,TEB,DUS
DUS,SLA,SLB,DUS
DUS,SLA,TEB,DUS
DUS,SLB,TEB,DUS
DUS,DRA,DSA,DAB,DUS
DUS,DAB,GKR,DRA,DUS
DUS,DRA,GUD,DAB,DUS
DUS,DAB,JSF,DRA,DUS
DUS,GRA,DAB,DRA,DUS
DUS,DRA,SLA,DAB,DUS
DUS,DAB,SLB,DRA,DUS
DUS,DAB,TEB,DRA,DUS
DUS,DAB,GKR,DSA,DUS
DUS,DAB,GUD,DSA,DUS
DUS,DSA,DAB,GRA,DUS
DUS,HDA,DAB,DSA,DUS
DUS,DAB,SLA,DSA,DUS
DUS,DAB,SLB,DSA,DUS
DUS,DSA,TEB,DAB,DUS
DUS,GKR,GUD,DAB,DUS
DUS,DAB,GKR,JSF,DUS
DUS,GKR,DAB,GRA,DUS
DUS,GKR,DAB,HDA,DUS
DUS,DAB,GKR,SLA,DUS
DUS,DAB,GKR,SLB,DUS
DUS,DAB,GKR,TEB,DUS
DUS,DAB,GUD,JSF,DUS
DUS,GRA,DAB,GUD,DUS
DUS,HDA,GUD,DAB,DUS
DUS,DAB,GUD,SLA,DUS
DUS,DAB,GUD,SLB,DUS
DUS,DAB,GUD,TEB,DUS
DUS,JSF,DAB,GRA,DUS
DUS,HDA,DAB,JSF,DUS
DUS,DAB,JSF,SLA,DUS
DUS,DAB,SLB,JSF,DUS
DUS,DAB,TEB,JSF,DUS
DUS,GRA,DAB,HDA,DUS
DUS,GRA,DAB,SLA,DUS
DUS,GRA,DAB,SLB,DUS
DUS,GRA,DAB,TEB,DUS
DUS,DAB,SLB,SLA,DUS
DUS,SLA,TEB,DAB,DUS
DUS,DAB,TEB,SLB,DUS
DUS,DRA,GKR,DSA,DUS
DUS,DRA,GUD,DSA,DUS
DUS,DSA,JSF,DRA,DUS
DUS,DRA,DSA,GRA,DUS
DUS,DRA,SLA,DSA,DUS
DUS,DRA,SLB,DSA,DUS
DUS,DRA,TEB,DSA,DUS
DUS,DRA,GKR,GUD,DUS
DUS,DRA,GKR,JSF,DUS
DUS,DRA,GKR,GRA,DUS
DUS,DRA,SLA,GKR,DUS
DUS,DRA,SLB,GKR,DUS
DUS,DRA,TEB,GKR,DUS
DUS,DRA,GUD,JSF,DUS
DUS,DRA,GUD,GRA,DUS
DUS,DRA,SLA,GUD,DUS
DUS,DRA,SLB,GUD,DUS
DUS,DRA,TEB,GUD,DUS
DUS,DRA,JSF,GRA,DUS
DUS,DRA,SLA,JSF,DUS
DUS,DRA,SLB,JSF,DUS
DUS,DRA,TEB,JSF,DUS
DUS,DRA,SLA,GRA,DUS
DUS,DRA,SLB,GRA,DUS
DUS,DRA,TEB,GRA,DUS
DUS,SLB,SLA,DRA,DUS
DUS,DRA,TEB,SLA,DUS
DUS,DRA,TEB,SLB,DUS
DUS,DSA,GKR,GUD,DUS
DUS,DSA,GKR,JSF,DUS
DUS,DSA,GKR,GRA,DUS
DUS,HDA,GKR,DSA,DUS
DUS,DSA,GKR,SLA,DUS
DUS,DSA,GKR,SLB,DUS
DUS,DSA,GKR,TEB,DUS
DUS,DSA,GUD,JSF,DUS
DUS,DSA,GUD,GRA,DUS
DUS,DSA,GUD,HDA,DUS
DUS,DSA,GUD,SLA,DUS
DUS,DSA,GUD,SLB,DUS
DUS,DSA,GUD,TEB,DUS
DUS,DSA,JSF,GRA,DUS
DUS,DSA,JSF,HDA,DUS
DUS,DSA,JSF,SLA,DUS
DUS,DSA,JSF,SLB,DUS
DUS,DSA,JSF,TEB,DUS
DUS,DSA,GRA,HDA,DUS
DUS,GRA,SLA,DSA,DUS
DUS,DSA,SLB,GRA,DUS
DUS,DSA,TEB,GRA,DUS
DUS,SLA,SLB,DSA,DUS
DUS,DSA,TEB,SLA,DUS
DUS,DSA,SLB,TEB,DUS
