DUS,DAB,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKR,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,GRA,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,SLB,DUS
DUS,TEB,DUS
DUS,DAB,DSA,DUS
DUS,DAB,GKR,DUS
DUS,DAB,GUD,DUS
DUS,DAB,JSF,DUS
DUS,DAB,GRA,DUS
DUS,DAB,HDA,DUS
DUS,DRA,DSA,DUS
DUS,DRA,GKR,DUS
DUS,DRA,GUD,DUS
DUS,DRA,JSF,DUS
DUS,DRA,SLA,DUS
DUS,DRA,SLB,DUS
DUS,DRA,TEB,DUS
DUS,DSA,GKR,DUS
DUS,GUD,DSA,DUS
DUS,DSA,JSF,DUS
DUS,DSA,GRA,DUS
DUS,DSA,HDA,DUS
DUS,DSA,SLA,DUS
DUS,SLB,DSA,DUS
DUS,DSA,TEB,DUS
DUS,GKR,GUD,DUS
DUS,GKR,JSF,DUS
DUS,GKR,GRA,DUS
DUS,GKR,SLA,DUS
DUS,GKR,SLB,DUS
DUS,GKR,TEB,DUS
DUS,GUD,JSF,DUS
DUS,GUD,GRA,DUS
DUS,GUD,HDA,DUS
DUS,GUD,SLA,DUS
DUS,GUD,SLB,DUS
DUS,GUD,TEB,DUS
DUS,JSF,GRA,DUS
DUS,JSF,HDA,DUS
DUS,SLA,JSF,DUS
DUS,JSF,SLB,DUS
DUS,JSF,TEB,DUS
DUS,GRA,HDA,DUS
DUS,SLA,SLB,DUS
DUS,SLA,TEB,DUS
DUS,SLB,TEB,DUS
DUS,DAB,GKR,DSA,DUS
DUS,DAB,GUD,DSA,DUS
DUS,DSA,DAB,GRA,DUS
DUS,HDA,DAB,DSA,DUS
DUS,GKR,GUD,DAB,DUS
DUS,DAB,GKR,JSF,DUS
DUS,GKR,DAB,GRA,DUS
DUS,DAB,GUD,JSF,DUS
DUS,GRA,DAB,GUD,DUS
DUS,HDA,GUD,DAB,DUS
DUS,JSF,DAB,GRA,DUS
DUS,HDA,DAB,JSF,DUS
DUS,GRA,DAB,HDA,DUS
DUS,DRA,GKR,DSA,DUS
DUS,DRA,GUD,DSA,DUS
DUS,DSA,JSF,DRA,DUS
DUS,DRA,SLA,DSA,DUS
DUS,DRA,SLB,DSA,DUS
DUS,DRA,TEB,DSA,DUS
DUS,DRA,GKR,GUD,DUS
DUS,DRA,GKR,JSF,DUS
DUS,DRA,SLA,GKR,DUS
DUS,DRA,SLB,GKR,DUS
DUS,DRA,TEB,GKR,DUS
DUS,DRA,GUD,JSF,DUS
DUS,DRA,SLA,GUD,DUS
DUS,DRA,SLB,GUD,DUS
DUS,DRA,TEB,GUD,DUS
DUS,DRA,SLA,JSF,DUS
DUS,DRA,SLB,JSF,DUS
DUS,DRA,TEB,JSF,DUS
DUS,SLB,SLA,DRA,DUS
DUS,DRA,TEB,SLA,DUS
DUS,DRA,TEB,SLB,DUS
DUS,DSA,GKR,GUD,DUS
DUS,DSA,GKR,JSF,DUS
DUS,DSA,GKR,GRA,DUS
DUS,DSA,GKR,SLA,DUS
DUS,DSA,GKR,SLB,DUS
DUS,DSA,GKR,TEB,DUS
DUS,DSA,GUD,JSF,DUS
DUS,DSA,GUD,GRA,DUS
